pipeline,competitor,ad_id,stopped_on,last_seen,first_seen
facebook,english-seekho,1000897915789500,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1013595614333515,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1019667247166100,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1027744632964202,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1028046746241190,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1029442363364951,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1032742602409239,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1126978040496998,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1132903655640672,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1188460143323551,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1201805335291194,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1212213287545559,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1246315007578917,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1268899174805199,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1278769291088873,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1283358550592107,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1291444699631777,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1304663088473953,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1305985317637766,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1307637824670207,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1309510511121100,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1312728620827992,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1330805262348986,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1338646038115560,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1339144911424810,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1340160141368459,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1356285063214825,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1369366785241374,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1407795181150871,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1409816634516473,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1436524178516846,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1449399177216557,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1463686805063835,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1479670906926896,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1499606681634983,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1499968041505818,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1514033473586244,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1515722056768953,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1536550541426561,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1538663697864452,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1545351903591600,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1547203000296284,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1552343953110699,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1557634265977929,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1566072955175639,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1602379751895886,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1619768796177619,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1626553531732571,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1628567501680633,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1631458994582084,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1633095154644536,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1636577990607766,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1637911940656686,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1639481830496403,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1646472486644290,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1649960252894658,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1672013927379995,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1676225003275778,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1686722056094306,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1690865141916250,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1691560568696606,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1698486967975301,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1699700921215417,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1706068323752314,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1706800790737031,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1711078123666484,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1712482393523503,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1714159199581150,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1720395459131049,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1722743238888620,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1736747117292615,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1750797312575013,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1753074432553235,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1756116462230470,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1813689653319537,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1841182893505052,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1865027414184541,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1924755088213891,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1926566638060333,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1948206473241244,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1961301468092363,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1984337915507800,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,2009747782982014,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,2009991773727562,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,2019647642315445,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,2024160915187386,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,2026450648079599,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,2033652774241263,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,2047736779171870,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,2076256199945064,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,2101398007464704,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,2105367057020577,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,2142526359928741,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,2143425226449818,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,2146328806153379,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,2225190144952040,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,2231678437667984,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,2252547335277455,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,2254681505359291,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,2260888907981138,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,2383163125525808,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,2417947832017509,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,2446213659535926,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,2468895176912539,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,2473165909818596,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,2573304183110934,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,2591689004608802,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,26463239926705201,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,26760057663622875,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,26794618746814367,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,26917959184530707,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,2705348466532489,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,2755888441437155,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,27731974399736672,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,3319986008163514,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,3406444152844333,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,3524825214333769,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,35457089847239841,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,35629835543327836,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,4077473675717547,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,4296427323911265,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,4371254969824560,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,4422752634710245,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,4424025224584940,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,4488104131411551,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,4555657601319784,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,756240874182057,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,805938542579531,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,809679988574577,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,823601950362227,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,835839852482522,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,841014529015757,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,841687008985481,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,845261814500751,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,851523094696496,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,865821879200159,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,866621743146367,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,907123395290117,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,912638511830928,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,914184308326307,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,919579094374067,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,945562204774388,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,952034237314249,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,970350219192232,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,972902528803528,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,977895658536429,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,981094987898584,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,986404407586202,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,991759129902174,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,992294803309079,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,996315129584237,2026-06-04,2026-05-26,2026-05-26
facebook,english-seekho,1008293012135432,2026-06-12,2026-06-04,2026-05-26
