pipeline,competitor,page_id,page_name,ad_id,media_type,language,presenter_type,device_format,production_type,script_group_id,replication_type,variant_role,first_seen,last_seen,times_seen,weeks_seen,ad_start_date,run_days,run_days_is_lower_bound,best_page_rank,worst_page_rank,median_page_rank,current_page_rank,present_latest,is_retired,page_count,frac_top_25,rank_gate,top25_gate,low_impression_ever,verdict,verdict_confidence
facebook,zinglish,680109015195106,Zinglish,1212657180911138,Video,Hindi,voiceover-only,app-screencast,human-recorded,zinglish-g0002,unique,original,2026-05-26,2026-07-21,38,9,2026-02-19,152,False,1,1,1,1,False,True,41,1.0,True,True,False,strong_winner,high
facebook,zinglish,680109015195106,Zinglish,908822938160022,Video,Hindi,none,other,human-recorded,zinglish-g0000,visual_variant,replica,2026-05-26,2026-07-25,42,9,2026-01-28,178,False,1,2,2,1,True,False,49,1.0,True,True,False,strong_winner,high
facebook,zinglish,680109015195106,Zinglish,1414823376812512,Video,Tamil,voiceover-only,app-screencast,human-recorded,zinglish-g0011,unique,original,2026-05-26,2026-07-25,42,9,2026-02-17,158,False,2,4,4,3,True,False,49,1.0,True,True,False,strong_winner,high
facebook,zinglish,680109015195106,Zinglish,2145402302955929,Video,Hindi,voiceover-only,app-screencast,human-recorded,zinglish-g0023,unique,original,2026-05-26,2026-07-25,42,9,2026-02-19,156,False,2,5,5,2,True,False,49,1.0,True,True,False,strong_winner,high
facebook,zinglish,680109015195106,Zinglish,900964249487648,Video,Hindi,none,app-screencast,human-recorded,zinglish-g0000,original,original,2026-05-26,2026-07-06,23,7,2026-03-13,115,False,3,4,3,3,False,True,41,1.0,True,True,False,strong_winner,high
facebook,zinglish,680109015195106,Zinglish,1214331300401198,Video,Tamil,human-only,app-screencast,human-recorded,zinglish-g0003,unique,original,2026-05-26,2026-07-25,42,9,2026-02-18,157,False,4,6,6,4,True,False,49,1.0,True,True,False,strong_winner,high
facebook,zinglish,680109015195106,Zinglish,1417738519758197,Video,Tamil,human-only,pen-and-paper,human-recorded,zinglish-g0012,unique,original,2026-05-26,2026-07-25,42,9,2026-02-27,148,False,5,7,7,5,True,False,49,1.0,True,True,False,strong_winner,high
facebook,zinglish,680109015195106,Zinglish,1457798545962459,Video,Kannada,human-only,pen-and-paper,human-recorded,zinglish-g0019,unique,original,2026-05-26,2026-07-25,42,9,2026-03-03,144,False,6,8,8,6,True,False,49,1.0,True,True,False,strong_winner,high
facebook,zinglish,680109015195106,Zinglish,1403710238171409,Video,Tamil,human-only,app-screencast,human-recorded,zinglish-g0010,unique,original,2026-05-26,2026-07-25,42,9,2026-03-07,140,False,7,9,9,7,True,False,49,0.667,True,True,False,strong_winner,high
facebook,zinglish,680109015195106,Zinglish,895901269731389,Video,Hindi,voiceover-only,app-screencast,human-recorded,zinglish-g0028,unique,original,2026-05-26,2026-07-25,42,9,2026-02-21,154,False,8,10,10,8,True,False,49,0.429,True,False,False,winner,high
facebook,zinglish,680109015195106,Zinglish,1023652126912998,Video,Tamil,human-only,talking-head,human-recorded,zinglish-g0033,unique,original,2026-06-30,2026-07-21,22,4,2026-06-28,23,False,8,41,15,8,False,True,41,0.273,True,False,False,winner,high
facebook,zinglish,680109015195106,Zinglish,25674228382269402,Video,Hindi,voiceover-only,app-screencast,human-recorded,zinglish-g0024,unique,original,2026-05-26,2026-07-25,42,9,2026-02-16,159,False,9,11,11,9,True,False,49,0.119,True,False,False,winner,high
facebook,zinglish,680109015195106,Zinglish,1505919334867604,Video,Hindi,voiceover-only,app-screencast,human-recorded,zinglish-g0020,unique,original,2026-05-26,2026-07-25,42,9,2026-01-28,178,False,10,13,12,10,True,False,49,0.024,True,False,False,winner,high
facebook,zinglish,680109015195106,Zinglish,1228162876124945,Video,Tamil,human-only,app-screencast,human-recorded,zinglish-g0004,unique,original,2026-05-26,2026-07-25,42,9,2026-02-18,157,False,11,14,14,11,True,False,49,0.024,True,False,False,winner,high
facebook,zinglish,680109015195106,Zinglish,894945046633710,Video,Hindi,voiceover-only,app-screencast,human-recorded,zinglish-g0027,unique,original,2026-05-26,2026-07-25,42,9,2026-03-06,141,False,12,15,15,12,True,False,49,0.024,True,False,False,winner,high
facebook,zinglish,680109015195106,Zinglish,1981093915820751,Video,Hindi,voiceover-only,listicle-montage,mixed,zinglish-g0021,unique,original,2026-05-26,2026-07-06,23,7,2026-04-29,68,False,12,16,13,12,False,True,41,0.0,True,False,False,winner,high
facebook,zinglish,680109015195106,Zinglish,826441597149033,Video,Tamil,human-only,app-screencast,human-recorded,zinglish-g0025,unique,original,2026-05-26,2026-07-25,42,9,2026-03-05,142,False,13,17,16,14,True,False,49,0.0,True,False,False,winner,high
facebook,zinglish,680109015195106,Zinglish,1530213245549751,Video,Telugu,human-only,app-screencast,human-recorded,zinglish-g0001,original,original,2026-06-28,2026-07-21,4,3,2026-06-25,26,False,13,30,22,13,False,True,37,0.0,True,False,False,winner,high
facebook,zinglish,680109015195106,Zinglish,943351378761019,Video,Telugu,human-only,app-screencast,human-recorded,zinglish-g0001,exact_replica,replica,2026-06-30,2026-07-19,20,3,2026-06-25,24,False,13,21,14,13,False,True,41,0.0,True,False,False,winner,high
facebook,zinglish,680109015195106,Zinglish,968689668869765,Video,,,,,,,,2026-07-25,2026-07-25,1,1,2026-04-27,89,False,13,13,13,13,True,False,49,1.0,True,True,False,strong_winner,high
facebook,zinglish,680109015195106,Zinglish,1443156474268077,Video,Tamil,voiceover-only,pen-and-paper,human-recorded,zinglish-g0016,unique,original,2026-05-26,2026-07-25,42,9,2026-02-27,148,False,14,18,17,15,True,False,49,0.0,True,False,False,winner,high
facebook,zinglish,680109015195106,Zinglish,1286723966731755,Video,Tamil,human-only,pen-and-paper,human-recorded,zinglish-g0007,unique,original,2026-05-26,2026-07-25,42,9,2026-03-05,142,False,15,19,18,16,True,False,49,0.0,True,False,False,winner,high
facebook,zinglish,680109015195106,Zinglish,2004457904289111,Video,Kannada,human-only,pen-and-paper,human-recorded,zinglish-g0022,unique,original,2026-05-26,2026-07-25,42,9,2026-03-03,144,False,16,20,19,17,True,False,49,0.0,True,False,False,winner,high
facebook,zinglish,680109015195106,Zinglish,1299322238926571,Video,Tamil,human-only,pen-and-paper,human-recorded,zinglish-g0008,unique,original,2026-05-26,2026-07-25,42,9,2026-02-27,148,False,17,22,20,18,True,False,49,0.0,True,False,False,winner,high
facebook,zinglish,680109015195106,Zinglish,1445137293761554,Video,Hindi,human-only,talking-head,human-recorded,zinglish-g0017,unique,original,2026-05-26,2026-07-25,42,9,2026-03-05,142,False,18,24,21,20,True,False,49,0.0,True,False,False,winner,high
facebook,zinglish,680109015195106,Zinglish,1017546790989934,Video,Kannada,human-only,app-screencast,human-recorded,zinglish-g0032,unique,original,2026-06-28,2026-07-03,6,2,2026-06-25,8,False,18,25,22,18,False,True,41,0.0,True,False,False,loser,low
facebook,zinglish,680109015195106,Zinglish,1263111225719321,Video,Tamil,voiceover-only,app-screencast,human-recorded,zinglish-g0006,unique,original,2026-05-26,2026-07-25,42,9,2026-02-17,158,False,19,25,22,21,True,False,49,0.0,True,False,False,winner,high
facebook,zinglish,680109015195106,Zinglish,1975871453024880,Video,,,,,,,,2026-07-25,2026-07-25,1,1,2026-04-27,89,False,19,19,19,19,True,False,49,0.0,True,False,False,winner,high
