pipeline,competitor,bucket_type,bucket,ads,winners,win_ratio
facebook,zinglish,weekday,Mon,1,1,1.0
facebook,zinglish,weekday,Tue,4,4,1.0
facebook,zinglish,weekday,Wed,6,6,1.0
facebook,zinglish,weekday,Thu,6,6,1.0
facebook,zinglish,weekday,Fri,8,8,1.0
facebook,zinglish,weekday,Sat,5,5,1.0
facebook,zinglish,weekday,Sun,1,1,1.0
facebook,zinglish,day_of_month,3,2,2,1.0
facebook,zinglish,day_of_month,5,4,4,1.0
facebook,zinglish,day_of_month,6,3,3,1.0
facebook,zinglish,day_of_month,7,3,3,1.0
facebook,zinglish,day_of_month,13,2,2,1.0
facebook,zinglish,day_of_month,15,1,1,1.0
facebook,zinglish,day_of_month,16,1,1,1.0
facebook,zinglish,day_of_month,17,2,2,1.0
facebook,zinglish,day_of_month,18,3,3,1.0
facebook,zinglish,day_of_month,19,2,2,1.0
facebook,zinglish,day_of_month,21,2,2,1.0
facebook,zinglish,day_of_month,27,3,3,1.0
facebook,zinglish,day_of_month,28,2,2,1.0
facebook,zinglish,day_of_month,29,1,1,1.0
