row_rank,competitor_name,advertiser_id,advertiser_name,advertiser_verified_location,target_country,creative_id,creative_url,creative_format,creative_last_shown_date,regions_shown,variant_index,variant_count,ad_headline,ad_description,ad_cta_text,ad_overlay_text,ad_destination_url,youtube_video_id,youtube_video_url,youtube_video_title,youtube_video_description,youtube_channel_name,youtube_video_duration_s,image_url_at_scrape,aspect_ratio,scrape_run_date,error_tag,r2_public_url,first_scrape_run_date,latest_scrape_run_date,competitor_analysis_docx_r2_url,supernova_rewrite_docx_r2_url,competitor_analysis_image_r2_urls,supernova_rewrite_image_r2_urls,page_rank
1,Speak,AR00705977088842137601,"Speakeasy Labs, Inc",United States,IN,CR00460064819299483649,https://adstransparency.google.com/advertiser/AR00705977088842137601/creative/CR00460064819299483649?region=IN,Image,2025-10-20,"2300,2372,2208,2410,2458,2704,2036,2578,2764,2586,2392,2203,2040,2826,2156,2348,2344,2276,2792,2246,2608,2642,2528,2191,2616,2620,2470,2100,2124,2056,2250,2158,2840,2050,2702,2724,2356,2360,2752,2380",0,3,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/sadbundle/$csp%3Darchive$/15136063618993043816/index.html,,2026-07-20,,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/g_CR00460064819299483649.jpg,2026-06-03,2026-07-20,,,,,1
2,Speak,AR00705977088842137601,"Speakeasy Labs, Inc",United States,IN,CR00460064819299483649,https://adstransparency.google.com/advertiser/AR00705977088842137601/creative/CR00460064819299483649?region=IN,Image,2025-10-20,"2300,2372,2208,2410,2458,2704,2036,2578,2764,2586,2392,2203,2040,2826,2156,2348,2344,2276,2792,2246,2608,2642,2528,2191,2616,2620,2470,2100,2124,2056,2250,2158,2840,2050,2702,2724,2356,2360,2752,2380",1,3,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/sadbundle/$csp%3Darchive$/446634437888131498/index.html,,2026-07-20,,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/g_CR00460064819299483649.jpg,2026-06-03,2026-07-20,,,,,2
3,Speak,AR00705977088842137601,"Speakeasy Labs, Inc",United States,IN,CR00460064819299483649,https://adstransparency.google.com/advertiser/AR00705977088842137601/creative/CR00460064819299483649?region=IN,Image,2025-10-20,"2300,2372,2208,2410,2458,2704,2036,2578,2764,2586,2392,2203,2040,2826,2156,2348,2344,2276,2792,2246,2608,2642,2528,2191,2616,2620,2470,2100,2124,2056,2250,2158,2840,2050,2702,2724,2356,2360,2752,2380",2,3,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/sadbundle/$csp%3Darchive$/10811125463154539907/index.html,,2026-07-20,,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/g_CR00460064819299483649.jpg,2026-06-03,2026-07-20,,,,,3
4,Speak,AR00705977088842137601,"Speakeasy Labs, Inc",United States,IN,CR00719391405578911745,https://adstransparency.google.com/advertiser/AR00705977088842137601/creative/CR00719391405578911745?region=IN,Image,2026-07-10,"2620,2470,2792,2528,2616,2344,2276,2124,2250,2158,2056,2702,2840,2724,2360,2458,2372,2356,2752,2380,2410,2203,2826,2036,2040,2764,2300,2208,2704,2348,2608,2392,2642,2246",0,2,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/1558210597998230755,,2026-07-20,,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/g_CR00719391405578911745.jpg,2026-06-03,2026-07-20,,,,,4
5,Speak,AR00705977088842137601,"Speakeasy Labs, Inc",United States,IN,CR00719391405578911745,https://adstransparency.google.com/advertiser/AR00705977088842137601/creative/CR00719391405578911745?region=IN,Image,2026-07-10,"2620,2470,2792,2528,2616,2344,2276,2124,2250,2158,2056,2702,2840,2724,2360,2458,2372,2356,2752,2380,2410,2203,2826,2036,2040,2764,2300,2208,2704,2348,2608,2392,2642,2246",1,2,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/1558210597998230755,,2026-07-20,,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/g_CR00719391405578911745.jpg,2026-06-03,2026-07-20,,,,,5
6,Speak,AR00705977088842137601,"Speakeasy Labs, Inc",United States,IN,CR00719391405578911745,https://adstransparency.google.com/advertiser/AR00705977088842137601/creative/CR00719391405578911745?region=IN,Image,2026-07-10,"2372,2410,2300,2764,2040,2203,2036,2392,2826,2208,2704,2608,2792,2246,2642,2616,2276,2620,2124,2344,2348,2528,2158,2250,2056,2470,2702,2840,2724,2458,2360,2380,2752,2356",2,3,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/1558210597998230755,,2026-07-13,,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/g_CR00719391405578911745.jpg,2026-06-03,2026-07-13,,,,,6
6,Speak,AR00705977088842137601,"Speakeasy Labs, Inc",United States,IN,CR01089078327580295169,https://adstransparency.google.com/advertiser/AR00705977088842137601/creative/CR01089078327580295169?region=IN,Image,2025-07-29,"2056,2608,2203,2250,2392,2616,2528,2348,2724,2764,2356,2704,2840,2360,2380,2276,2246",0,1,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/sadbundle/$csp%3Darchive$/8979459366137136977/index.html,,2026-07-20,,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/g_CR01089078327580295169.jpg,2026-06-03,2026-07-20,,,,,6
7,Speak,AR00705977088842137601,"Speakeasy Labs, Inc",United States,IN,CR01428209546567876609,https://adstransparency.google.com/advertiser/AR00705977088842137601/creative/CR01428209546567876609?region=IN,YouTubeVideo,2026-01-13,"2324,2704,2356,2504,2466,2233,2450,2032,2372,2120,2784,2196,2312,2480,2254,2258,2705,2384,2428,2540,2818,2124,2191,2638,2484,2170,2642,2020,2608,2764,2036,2178,2834,2710,2203,2352,2300,2392,2266,2208,2788,2686,2360,2214,2752,2380,2724,2250,2442,2056,2663,2840,2076,2008,2012,2100,2620,2528,2470,2376,2616,2702,2703,2116,2440,2246,2492,2276,2792,2682,2768,2474,2348,2040,2132,2756,2826,2175,2204,2578",0,5,,,,,,,,,,,,,,2026-07-20,html5-banner-no-mp4,,2026-06-03,2026-07-20,,,,,7
8,Speak,AR00705977088842137601,"Speakeasy Labs, Inc",United States,IN,CR01428209546567876609,https://adstransparency.google.com/advertiser/AR00705977088842137601/creative/CR01428209546567876609?region=IN,YouTubeVideo,2026-01-13,"2324,2704,2356,2504,2466,2233,2450,2032,2372,2120,2784,2196,2312,2480,2254,2258,2705,2384,2428,2540,2818,2124,2191,2638,2484,2170,2642,2020,2608,2764,2036,2178,2834,2710,2203,2352,2300,2392,2266,2208,2788,2686,2360,2214,2752,2380,2724,2250,2442,2056,2663,2840,2076,2008,2012,2100,2620,2528,2470,2376,2616,2702,2703,2116,2440,2246,2492,2276,2792,2682,2768,2474,2348,2040,2132,2756,2826,2175,2204,2578",1,5,,,,,,,,,,,,,,2026-07-20,html5-banner-no-mp4,,2026-06-03,2026-07-20,,,,,8
9,Speak,AR00705977088842137601,"Speakeasy Labs, Inc",United States,IN,CR01428209546567876609,https://adstransparency.google.com/advertiser/AR00705977088842137601/creative/CR01428209546567876609?region=IN,YouTubeVideo,2026-01-13,"2324,2704,2356,2504,2466,2233,2450,2032,2372,2120,2784,2196,2312,2480,2254,2258,2705,2384,2428,2540,2818,2124,2191,2638,2484,2170,2642,2020,2608,2764,2036,2178,2834,2710,2203,2352,2300,2392,2266,2208,2788,2686,2360,2214,2752,2380,2724,2250,2442,2056,2663,2840,2076,2008,2012,2100,2620,2528,2470,2376,2616,2702,2703,2116,2440,2246,2492,2276,2792,2682,2768,2474,2348,2040,2132,2756,2826,2175,2204,2578",2,5,,,,,,,,,,,,,00:00,2026-07-20,html5-banner-no-mp4,,2026-06-03,2026-07-20,,,,,9
