row_rank,competitor_name,facebook_page_id,facebook_page_name,facebook_page_followers,target_country,ad_library_id,ad_library_url,ad_start_date,ad_end_date,has_low_impression_warning,ad_has_multiple_versions,ad_version_count,ad_primary_text,ad_description,ad_cta_label,ad_destination_url,ad_media_type,ad_distribution_platforms,creative_count_in_ad,creative_index_in_ad,creative_aspect_ratio,facebook_video_cdn_url_at_scrape,facebook_thumbnail_cdn_url_at_scrape,facebook_cdn_url_expiry_at_scrape,scrape_run_date,r2_public_url,first_scrape_run_date,latest_scrape_run_date,competitor_analysis_docx_r2_url,supernova_rewrite_docx_r2_url,orig_frame_urls,gen_panel_urls,char_sheet_urls
1,English Seekho,565574549966663,English Seekho App,,IN,2739911929699031,https://www.facebook.com/ads/library/?id=2739911929699031,,,FALSE,FALSE,1,Fluent English bolne ka sirf ek raasta – Daily practice on English Seekho App. Start now!,,,,Video,,1,0,9:16,https://scontent.fblr22-1.fna.fbcdn.net/o1/v/t2/f2/m412/AQOsk7zZvuoTFQBfZ0_MYwOMs9qSXIAakTOEnSHC5rJDEOC661Z_1gEDw3iH8y25MAJq5Ul6KZ_X3Rot7LrW9GT-9s1UpF0iKxj6I5_0ag.mp4?_nc_cat=104&_nc_oc=AdpmVR_6y_bqBYoPjdWSr1tdxTkcefN1oe3GfswWdPRksjYxyeiAdWdicX4VKvkWhy8&_nc_sid=8bf8fe&_nc_ht=scontent.fblr22-1.fna.fbcdn.net&_nc_ohc=wI56tqnWGRMQ7kNvwHoz0dE&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6Mjg1MjY5MjgzODQwMzgxNywiYXNzZXRfYWdlX2RheXMiOjg0LCJ2aV91c2VjYXNlX2lkIjoxMDEzOSwiZHVyYXRpb25fcyI6MTE1LCJ1cmxnZW5fc291cmNlIjoid3d3In0%3D&ccb=17-1&_nc_gid=ReXyvOKdMaZH1asjMCNtRg&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af84Y0T2HBKtd2MUPvUyYNIX_eYi8XDIFOavalELnSHF3g&oe=6A272D92,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/651878624_3530246050468720_6966156643591714072_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=4IVayi5BdywQ7kNvwFrl5dw&_nc_oc=AdrE0gcgNP2VYkQxqzzQTT8kz0OrFVsRQbtCHIVeibuHWPqbhQQvVbQFh0lxlQyNyEU&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=ReXyvOKdMaZH1asjMCNtRg&_nc_ss=7b2a8&oh=00_Af-rTfvGZw5rRlm5ioUzEIqpfu65E4iIs3a2MDlAbSGo7A&oe=6A272102,2026-06-08T21:01:06.000Z,2026-06-04,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/2739911929699031.mp4,2026-05-26,2026-06-04,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/2739911929699031_competitor_analysis.docx,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/2739911929699031_supernova_rewrite.docx,,,
2,English Seekho,565574549966663,English Seekho App,,IN,1699700921215417,https://www.facebook.com/ads/library/?id=1699700921215417,2026-05-09,,false,false,1,Fluent English bolne ka sirf ek raasta – Daily practice on English Seekho App. Start now!,,,http://play.google.com/store/apps/details?id=com.bolo.android&fbclid=IwZXh0bgNhZW0CMTAAYnJpZBExdGVIVTNuVm43aDRkOXR0WnNydGMGYXBwX2lkDzU0MTYzOTQ5Mzg4OTAyNQABHqQDgrsfPtxk7dCz0u0SrEnXBWWs673f7K9FWnJjcp7jvrF2ZzEUbXKg8OPj_aem_pAbNqNH67EjB-ZyAoGx4HA,Video,"Facebook, Instagram, Audience Network, Messenger",1,0,9:16,https://scontent.fblr22-1.fna.fbcdn.net/o1/v/t2/f2/m412/AQO4QRGIkhPppSwIAuvQTqdggdBCL3qn2v2jJOFUYjMpwAfyemISk5YAZ0eDAUqsfxJpghO_qc1K4nWwl1tBjcAjQV03I9ILGbqvAJ9YVQ.mp4?_nc_cat=106&_nc_oc=Adpxqv27_jLK7L5y4khKS736_hWXSwVIq7_kfaG_Ux0WcNuRkTRVllhjwa-TYQ5W93s&_nc_sid=8bf8fe&_nc_ht=scontent.fblr22-1.fna.fbcdn.net&_nc_ohc=rWdb7CSseZYQ7kNvwGu-EU7&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MjY1ODUyNDY0MDQ0MzA2NzIsImFzc2V0X2FnZV9kYXlzIjoyNiwidmlfdXNlY2FzZV9pZCI6MTAxMzksImR1cmF0aW9uX3MiOjg5LCJ1cmxnZW5fc291cmNlIjoid3d3In0%3D&ccb=17-1&_nc_gid=byL9uVg_BRieKaT7WHmSKg&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af4ByM1oY_KoC5-TgTO04sNtgDXTOBEVkLqPyN09n2NmUA&oe=6A1B9D8C,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/691075448_1172417071627196_3969551348537002050_n.jpg?stp=dst-jpg_s60x60_tt6&_nc_cat=106&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=uzzHClxCJ1QQ7kNvwHv2HDQ&_nc_oc=AdpbT1nK1AWSMyAcwEaxoVWP_yp__SsXPwhqn13y1iiuspCj3xfoyN8dIUcQWQVPTTg&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=byL9uVg_BRieKaT7WHmSKg&_nc_ss=7b2a8&oh=00_Af65PEUA38jznCpV0fEzHxHBgpp8sPVgZTlm52En1JQy4w&oe=6A1B8ACE,2026-05-31T02:31:40.000Z,2026-05-26,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1699700921215417.mp4,2026-05-26,2026-05-27,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1699700921215417_competitor_analysis.docx,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1699700921215417_supernova_rewrite.docx,,,
2,English Seekho,565574549966663,English Seekho App,,IN,1271047411639492,https://www.facebook.com/ads/library/?id=1271047411639492,,,FALSE,FALSE,1,Fluent English bolne ka sirf ek raasta – Daily practice on English Seekho App. Start now!,,,,Video,,1,0,9:16,https://scontent.fblr22-1.fna.fbcdn.net/o1/v/t2/f2/m412/AQNOgCMpH9ad4DYrZGelSDoWYolDSpI4vbe1fNE7PniAM1rjyB6-Iab0yuTrZ8WS1HNq9duIzXFJhbznwNi5Y0fDwNuaRn19SGhJPQe6Nw.mp4?_nc_cat=108&_nc_oc=AdoxDyDQmetvG5Zmwwd-l-KSU_xGLVsMKg_FjLpbDtXe4HjQoYVLqYCmg4k9MYEastQ&_nc_sid=8bf8fe&_nc_ht=scontent.fblr22-1.fna.fbcdn.net&_nc_ohc=HCS2JNHYOIkQ7kNvwFEYfRM&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6NzcxMTA2NTY5MDkwOTE1LCJhc3NldF9hZ2VfZGF5cyI6ODEsInZpX3VzZWNhc2VfaWQiOjEwMTM5LCJkdXJhdGlvbl9zIjo4MiwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&_nc_gid=ReXyvOKdMaZH1asjMCNtRg&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af85eDliMCzHMHLHIFM25k0wRpRMc-DW9vh0uFlatyh0hA&oe=6A2726C2,https://scontent.fblr22-2.fna.fbcdn.net/v/t39.35426-6/653706511_730509403386299_1855061650527034733_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=4C_oe5qUVy8Q7kNvwGyoTW6&_nc_oc=AdpREdOGl9dDx2bcicl2Oj3nDeoh-hdw-rHLwYJZVK6Wj6hqShKpUrOZEWDJuLaxh68&_nc_zt=14&_nc_ht=scontent.fblr22-2.fna&_nc_gid=ReXyvOKdMaZH1asjMCNtRg&_nc_ss=7b2a8&oh=00_Af_fWSG5no1oDJuz6K5nK9UfYvnuayA70KYd8-IbBTqPWQ&oe=6A273463,2026-06-08T20:32:02.000Z,2026-06-04,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1271047411639492.mp4,2026-05-26,2026-06-04,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1271047411639492_competitor_analysis.docx,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1271047411639492_supernova_rewrite.docx,,,
4,English Seekho,565574549966663,English Seekho App,,IN,1304663088473953,https://www.facebook.com/ads/library/?id=1304663088473953,2026-04-27,,false,false,1,Fluent English bolne ka sirf ek raasta – Daily practice on English Seekho App. Start now!,English Communication strong karo aur confidence badhao,Install now,http://play.google.com/store/apps/details?id=com.bolo.android&fbclid=IwZXh0bgNhZW0CMTAAYnJpZBExdGVIVTNuVm43aDRkOXR0WnNydGMGYXBwX2lkDzU0MTYzOTQ5Mzg4OTAyNQABHsAK09RoNUjLmvBIqp_cDM9T_cWCKJoK10-yhJZA5istaTs-WprztCFEX7U__aem_lHbJnKGDBDfO0iwS8D_CqA,Video,"Facebook, Instagram, Audience Network, Messenger",1,0,9:16,https://scontent.fblr22-2.fna.fbcdn.net/o1/v/t2/f2/m412/AQOQ4MP0uSF3M3iay0boPn78QIETwg-n559nXdM9AE1hNqDD8HJLrHIiSUjGonPIB0VTlv28JcHRB56KF5kzCntDTSlMFy6tbojJGUJHnw.mp4?_nc_cat=111&_nc_oc=Adr4hKs-_vVhBU0Dloe-4LknFCfVDxMJTjXJsK4_dV8F-wuOCjgI1J423E0c09T75I8&_nc_sid=8bf8fe&_nc_ht=scontent.fblr22-2.fna.fbcdn.net&_nc_ohc=SGrIZzP_fAIQ7kNvwF188W8&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6OTA3MDYyMzgyMzY3NzEzLCJhc3NldF9hZ2VfZGF5cyI6MzQsInZpX3VzZWNhc2VfaWQiOjEwMTM5LCJkdXJhdGlvbl9zIjoxMjYsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=byL9uVg_BRieKaT7WHmSKg&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af62U5xmTkNCUFupOTfhNzq7lxK4j8fOlpXabAG6ubKaIA&oe=6A1B9DFF,https://scontent.fblr22-2.fna.fbcdn.net/v/t39.35426-6/682666965_971086025419147_7007216713695862076_n.jpg?stp=dst-jpg_s60x60_tt6&_nc_cat=110&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=yI5vlTh4u18Q7kNvwGwj7wc&_nc_oc=AdokRTSpnZ6HZSW03Guc_aL3mAQxTmNgUjO3bLIzhlwqvTSaWJDvgbK8t-uNyB8tTMo&_nc_zt=14&_nc_ht=scontent.fblr22-2.fna&_nc_gid=byL9uVg_BRieKaT7WHmSKg&_nc_ss=7b2a8&oh=00_Af6aSG4RXSFALrWz4tzkDyWxWHMJWBsNUzrfv_gnOSL0Xg&oe=6A1B9716,2026-05-31T02:33:35.000Z,2026-05-26,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1304663088473953.mp4,2026-05-26,2026-05-27,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1304663088473953_competitor_analysis.docx,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1304663088473953_supernova_rewrite.docx,,,
3,English Seekho,565574549966663,English Seekho App,,IN,2011104622816471,https://www.facebook.com/ads/library/?id=2011104622816471,,,FALSE,FALSE,1,Fluent English bolne ka sirf ek raasta – Daily practice on English Seekho App. Start now!,,,,Video,,1,0,9:16,https://scontent.fblr22-1.fna.fbcdn.net/o1/v/t2/f2/m412/AQNLfmxobIvKql0azV_lna7v_m1-ba6QoNMp34CkW-vKJWt9pDsNNEoJ1dsfl5rELzS5VkjuZ28gKCqVLnEDiY5ZtjpU877GjWCHCzeGqw.mp4?_nc_cat=101&_nc_oc=AdoWrj3pPB7r414vLXLFMmS-_S3kIDkM-Kij-81QiciWI7MKF_OTwz50siZ_0FzdEjU&_nc_sid=8bf8fe&_nc_ht=scontent.fblr22-1.fna.fbcdn.net&_nc_ohc=WaB8kjlJ4LUQ7kNvwHea-0v&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MjY5Mjc3MzE2NTAxODE0OTgsImFzc2V0X2FnZV9kYXlzIjoyMSwidmlfdXNlY2FzZV9pZCI6MTAxMzksImR1cmF0aW9uX3MiOjU4LCJ1cmxnZW5fc291cmNlIjoid3d3In0%3D&ccb=17-1&_nc_gid=ReXyvOKdMaZH1asjMCNtRg&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af_GDlKLPYYnjjhpX4C1iY61EaKRZRewsLWKGwfS0zTE8g&oe=6A274CA9,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/701291049_26883585054625471_5413363478869838488_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=09XYF5v80kwQ7kNvwGF_WkA&_nc_oc=AdpgxNTYU2o8ax9AZK68lELxTj67_6BREGurwOiBRfv03oCz467jL156_9dD55pRx6I&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=ReXyvOKdMaZH1asjMCNtRg&_nc_ss=7b2a8&oh=00_Af_-o1r7JyNLrhFl2cGw_pW29sXNS7q3b1cQA9tW9yUQEA&oe=6A274C92,2026-06-08T23:13:45.000Z,2026-06-04,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/2011104622816471.mp4,2026-05-26,2026-06-04,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/2011104622816471_competitor_analysis.docx,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/2011104622816471_supernova_rewrite.docx,,,
6,English Seekho,565574549966663,English Seekho App,,IN,26428220643500017,https://www.facebook.com/ads/library/?id=26428220643500017,,,FALSE,FALSE,1,Fluent English bolne ka sirf ek raasta – Daily practice on English Seekho App. Start now!,,,,Video,,1,0,9:16,https://scontent.fblr22-2.fna.fbcdn.net/o1/v/t2/f2/m412/AQMKvOk6kV9vpeFmYP2DAmJ3nZIAhIxEgw9EpJBmesnU1M8VZl8YA7siG_RzukiK3y50whicdmQvSIdpLzGY-iipja3IAS9Lstk0QRzz_Q.mp4?_nc_cat=100&_nc_oc=AdpLQ47HyBWNjieajgtQizSXJG0SDaZfOoIBEoopSpjhxcgsrgp1latO3ZZq4dtYzAM&_nc_sid=8bf8fe&_nc_ht=scontent.fblr22-2.fna.fbcdn.net&_nc_ohc=wCQWybD3voMQ7kNvwHhoLwN&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MTI2MTQwNjgwNjA5NzU0MiwiYXNzZXRfYWdlX2RheXMiOjYwLCJ2aV91c2VjYXNlX2lkIjoxMDEzOSwiZHVyYXRpb25fcyI6MzcsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=ReXyvOKdMaZH1asjMCNtRg&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af-BuSy3mtdzlwhQ-y5jmN3UhMz-RCRRl_9WHvbBWCkxuw&oe=6A272EC6,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/670856654_1273095311443219_3817843183697139078_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=7VQ3ANdoNHsQ7kNvwGcroxd&_nc_oc=Adp-T35LSf14dMC4I-XylSrX3gdGL0FoeUKZuZGFdo2jwYmoywL2Mt-BpUy_I665_qc&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=ReXyvOKdMaZH1asjMCNtRg&_nc_ss=7b2a8&oh=00_Af8lfyIzVEAXFoPA634rzfjtHwcxGUWswYfkWsUdWwT7PQ&oe=6A2721B3,2026-06-08T21:06:14.000Z,2026-06-04,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/26428220643500017.mp4,2026-05-26,2026-06-04,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/26428220643500017_competitor_analysis.docx,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/26428220643500017_supernova_rewrite.docx,,,
4,English Seekho,565574549966663,English Seekho App,,IN,1520726159399023,https://www.facebook.com/ads/library/?id=1520726159399023,,,FALSE,FALSE,1,ইংরেজি কমিউনিকেশন শক্তিশালী করুন এবং আত্মবিশ্বাস বাড়ান।,,,,Video,,1,0,9:16,https://scontent.fblr22-1.fna.fbcdn.net/o1/v/t2/f2/m412/AQPUn2rxsC6voomEs9oJrhTJ09iadkGwtsfHdo4LV1X_NdmKFWXJCXIfqVynfYN819mVpf-DOaimixDpN7e6AiLnliP2IBFBKzi4L5l2pA.mp4?_nc_cat=108&_nc_oc=AdobKi9PyG_Ds3gLg4ZAVogRS9xb4LOMRXh3UpJlntOT8NO9Usxbs5Wapf09jmt7egE&_nc_sid=8bf8fe&_nc_ht=scontent.fblr22-1.fna.fbcdn.net&_nc_ohc=X4AdJT72tgYQ7kNvwGFH7k3&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MjIxMDM2MzQ2OTcwMDIxNiwiYXNzZXRfYWdlX2RheXMiOjM0LCJ2aV91c2VjYXNlX2lkIjoxMDc5OSwiZHVyYXRpb25fcyI6ODcsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=ReXyvOKdMaZH1asjMCNtRg&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af-geeMMALJ7xVn-fNCv77F4YgTQo_tetDwSKLDNS4J9rg&oe=6A273C96,https://scontent.fblr22-2.fna.fbcdn.net/v/t39.35426-6/686118276_3831388923667411_5663939241526673092_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=LMEoSwRu_8IQ7kNvwHnR-ia&_nc_oc=Adr59uCMymUk6SM5JLWF6_gRJMyO34UGM5rnLxL9syar4o_0jDhqOS8w4aHUGYuwdJo&_nc_zt=14&_nc_ht=scontent.fblr22-2.fna&_nc_gid=ReXyvOKdMaZH1asjMCNtRg&_nc_ss=7b2a8&oh=00_Af-KlVYuBoTimlnAifRHYTqvWO4bGrMCVRRZJCX-KThY8A&oe=6A2731A9,2026-06-08T22:05:10.000Z,2026-06-04,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1520726159399023.mp4,2026-05-26,2026-06-04,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1520726159399023_competitor_analysis.docx,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1520726159399023_supernova_rewrite.docx,,,
9,English Seekho,565574549966663,English Seekho App,,IN,1185488816920457,https://www.facebook.com/ads/library/?id=1185488816920457,,,FALSE,FALSE,1,Fluent English bolne ka sirf ek raasta – Daily practice on English Seekho App. Start now!,,,,Video,,1,0,9:16,https://scontent.fblr22-2.fna.fbcdn.net/o1/v/t2/f2/m412/AQOKVwkSkEwjKgNH7p64BwRgkVYTMe4ZVeYPiVjorzei6Q0ey4LxgddwlCTSaniqg9xfqf3qcLBqu0oXnU9npfSROAlb5bNo0PmVPAbKyw.mp4?_nc_cat=100&_nc_oc=AdpHTnSpu14EoelSnAE58jrbOSZef6hBFJcast1GsI08y-Lw_Ka303dC70PUxLTkSrs&_nc_sid=8bf8fe&_nc_ht=scontent.fblr22-2.fna.fbcdn.net&_nc_ohc=HGoIeXu2KLAQ7kNvwFqo8Zw&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6OTM3MjM3MzA4OTE4ODM2LCJhc3NldF9hZ2VfZGF5cyI6NTQsInZpX3VzZWNhc2VfaWQiOjEwMTM5LCJkdXJhdGlvbl9zIjoxODYsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=ReXyvOKdMaZH1asjMCNtRg&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af-YksVioXoUo0HAKuPdia6-qBkMZ6ds6efGdEpm625ygA&oe=6A27483E,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/670419295_1146774387551506_5805943826049382422_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=qahBs71MScoQ7kNvwGjwOaj&_nc_oc=AdrD_Emnt-HfKVonfr7RpWETiYvPsgJld-6eRXF4lR_Kc9Dxj3zrDGjNMkbT8G3i8g8&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=ReXyvOKdMaZH1asjMCNtRg&_nc_ss=7b2a8&oh=00_Af-bUyKjdYg7Mo4URotse00bvGhjYFuQd0VqvVsZPEnYhQ&oe=6A272CAF,2026-06-08T22:54:54.000Z,2026-06-04,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1185488816920457.mp4,2026-05-26,2026-06-04,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1185488816920457_competitor_analysis.docx,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1185488816920457_supernova_rewrite.docx,,,
10,English Seekho,565574549966663,English Seekho App,,IN,3745166842290933,https://www.facebook.com/ads/library/?id=3745166842290933,,,FALSE,FALSE,1,ইংরেজি কমিউনিকেশন শক্তিশালী করুন এবং আত্মবিশ্বাস বাড়ান।,,,,Video,,1,0,9:16,https://scontent.fblr22-2.fna.fbcdn.net/o1/v/t2/f2/m412/AQOFP2TcIADSFSl4AcQqbvOdw_GlIl3tOV7250Uuvvp_v-2wVq5p88zRiBwWGk85jLBFe-erk391E36VMdHrJ0NBJFtUCAD0HjL-Cbqqtg.mp4?_nc_cat=111&_nc_oc=Adpn6HBNmcF6iMJsSzI81Mdkmg4dm0B02I6lVZQag2c4BxarjTGX4P-VlkoEkb-e4VU&_nc_sid=8bf8fe&_nc_ht=scontent.fblr22-2.fna.fbcdn.net&_nc_ohc=3v_OgDaz0QEQ7kNvwHCC49G&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MTc4NTk2OTE2OTQzMDIzMCwiYXNzZXRfYWdlX2RheXMiOjQ3LCJ2aV91c2VjYXNlX2lkIjoxMDc5OSwiZHVyYXRpb25fcyI6MTU5LCJ1cmxnZW5fc291cmNlIjoid3d3In0%3D&ccb=17-1&_nc_gid=ReXyvOKdMaZH1asjMCNtRg&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af-B_Ej9YymDVyspWRQR-SvCDHeEtFb1PMRNFCDu_DCvpg&oe=6A2729C3,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/673535748_1621353913327637_1129889355303622130_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=dnvM34ud2mkQ7kNvwHbo9gc&_nc_oc=AdpoGZBIo6EZXiSoGuuh2c7B1AGATdhljcDm2A_HKgyt5R2_HL1K8MzXQwYFwyGqVbU&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=ReXyvOKdMaZH1asjMCNtRg&_nc_ss=7b2a8&oh=00_Af9lwx8Q6G0sXiIXFCI3TGIK9NXC-w-yFleh3f06qtvgBA&oe=6A2742FB,2026-06-08T20:44:51.000Z,2026-06-04,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/3745166842290933.mp4,2026-05-26,2026-06-04,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/3745166842290933_competitor_analysis.docx,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/3745166842290933_supernova_rewrite.docx,,,
8,English Seekho,565574549966663,English Seekho App,,IN,882040494892409,https://www.facebook.com/ads/library/?id=882040494892409,,,FALSE,FALSE,1,Fluent English bolne ka sirf ek raasta – Daily practice on English Seekho App. Start now!,,,,Video,,1,0,9:16,https://scontent.fblr22-1.fna.fbcdn.net/o1/v/t2/f2/m412/AQPsanxyAd4TAnWRP1vI-kI6H-s1wIRccrQvDI4ZgUS0aprxVEaYxuvhlidOe_5sWguhllS8pgST8A8uEN1sgR_mfmelktBrbwaKt908VA.mp4?_nc_cat=104&_nc_oc=AdpONoVXceGa56axBZ6eu8RbghilAIAK0BBnHn9_BrSV4V9_fYf_8iJylMUTP41ydlE&_nc_sid=8bf8fe&_nc_ht=scontent.fblr22-1.fna.fbcdn.net&_nc_ohc=8jpYk5mNZlsQ7kNvwEJYXSm&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MTQ0NzQ2MjUzNjY3MjAyOCwiYXNzZXRfYWdlX2RheXMiOjIzLCJ2aV91c2VjYXNlX2lkIjoxMDEzOSwiZHVyYXRpb25fcyI6MjA5LCJ1cmxnZW5fc291cmNlIjoid3d3In0%3D&ccb=17-1&_nc_gid=ReXyvOKdMaZH1asjMCNtRg&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af9zDVZs8EDlSxSTTqOni3Yu5khBU_mH7XQ3uPhR3NWLUA&oe=6A2746F2,https://scontent.fblr22-2.fna.fbcdn.net/v/t39.35426-6/699215363_4266473713667660_3203371079177041715_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=Bo6QlJNuh6MQ7kNvwFw0lU_&_nc_oc=AdpCTMzoAdU_RkuW2hwAR3TFmvBt7Q2wA6mjazPeINp1FHq2714pzHWw4a_8lEwxVsM&_nc_zt=14&_nc_ht=scontent.fblr22-2.fna&_nc_gid=ReXyvOKdMaZH1asjMCNtRg&_nc_ss=7b2a8&oh=00_Af_o-8pkNVPhbWPsEddbCFEYkpG9ochZOlSdCoGdvQSVqw&oe=6A2742A9,2026-06-08T22:49:22.000Z,2026-06-04,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/882040494892409.mp4,2026-05-26,2026-06-04,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/882040494892409_competitor_analysis.docx,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/882040494892409_supernova_rewrite.docx,,,
