row_rank,competitor_name,facebook_page_id,facebook_page_name,facebook_page_followers,target_country,ad_library_id,ad_library_url,ad_start_date,ad_end_date,has_low_impression_warning,ad_has_multiple_versions,ad_version_count,ad_primary_text,ad_description,ad_cta_label,ad_destination_url,ad_media_type,ad_distribution_platforms,creative_count_in_ad,creative_index_in_ad,creative_aspect_ratio,facebook_video_cdn_url_at_scrape,facebook_thumbnail_cdn_url_at_scrape,facebook_cdn_url_expiry_at_scrape,scrape_run_date,r2_public_url,first_scrape_run_date,latest_scrape_run_date,competitor_analysis_docx_r2_url,supernova_rewrite_docx_r2_url,orig_frame_urls,gen_panel_urls,char_sheet_urls,page_rank,version_index,version_id,version_start_date,version_end_date,version_primary_text,version_description,version_cta_label,version_destination_url,version_platforms_distribution
1,Duolingo,141935472517297,Duolingo,,IN,870791105586044,https://www.facebook.com/ads/library/?id=870791105586044,2026-02-05,,false,false,1,Duolingo is the world's #1 language learning app,Free language learning,Install now,http://play.google.com/store/apps/details?id=com.duolingo,Image,"Facebook,Instagram,Audience Network,Messenger,Threads",1,0,9:16,,https://scontent.fblr20-4.fna.fbcdn.net/v/t39.35426-6/640996173_2681682758876492_8630451909664325929_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=5dmMQVrEbfgQ7kNvwFQUjL3&_nc_oc=Adq9l9YPLEWEzrIa3F6gVKbPZzDW9EbIuYFzpyXmwtLzQoeh1xQLmaM57N8A7kmKzCPBzXs0M7dK1nG4HeXuHnB4&_nc_zt=14&_nc_ht=scontent.fblr20-4.fna&_nc_gid=kLt8gVQ1XXD1pO-ijjQzuA&_nc_ss=7f289&oh=00_AQCut7ymlh6Mr35HlRS0rkxCnEadl1ZMR-WF7Oe5NdBtwA&oe=6A58B675,2026-07-16T10:46:13.000Z,2026-07-12,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/870791105586044.jpg,2026-05-27,2026-07-12,,,,,,1,0,,2026-02-05,,Duolingo is the world's #1 language learning app,Free language learning,Install now,http://play.google.com/store/apps/details?id=com.duolingo,"Facebook,Instagram,Audience Network,Messenger,Threads"
2,Duolingo,141935472517297,Duolingo,,IN,1681513992840751,https://www.facebook.com/ads/library/?id=1681513992840751,2026-04-01,,false,false,1,"More than a game. Learn chess, math, music and more for free with Duolingo.",The world's #1 learning app,Install now,http://play.google.com/store/apps/details?id=com.duolingo,Video,"Facebook,Instagram,Audience Network,Messenger,Threads",1,0,1:1,https://video.fblr20-4.fna.fbcdn.net/o1/v/t2/f2/m366/AQOfvumPreEU3CrynWjtEy-JCp_Ryy8WhManl7tfcFwnvlNneUaYRG94WLV4V7SVGU6OcBMvDs2n9yzjgmMePGVxxFyeK8OV5oq3qr9xTIVqqw.mp4?_nc_cat=103&_nc_oc=AdoAfE9OD7GFUpmL-72aUoaE91ZpfucifjhgxI_w7nZIuMeU9Vx3I2npB86hn0vm0OjOW90je2Wqg06b4b0rDHSu&_nc_sid=b66105&_nc_ht=video.fblr20-4.fna.fbcdn.net&_nc_ohc=QgrOwumnEnEQ7kNvwHDM6C1&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuNzIwLmRhc2hfaDI2NC1iYXNpYy1nZW4yXzcyMHAiLCJ4cHZfYXNzZXRfaWQiOjE0ODkzNDkxNTYxMDA4NjksImFzc2V0X2FnZV9kYXlzIjo4OSwidmlfdXNlY2FzZV9pZCI6MTA3OTksImR1cmF0aW9uX3MiOjUsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&vs=d8bd83a23c3b23e1&_nc_vs=HBksFQIYRWZiX2VwaGVtZXJhbC9GRDRFREIzNTc2RDdBODlDQjAyOTc0RTI5QjMwQ0VBMV9tdF8xX3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBEgAVAhhAZmJfcGVybWFuZW50L0RFNEYwNkIwRUM2QjlEMDA2NzE1RjhDRDM1MjJGRUEwX2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACaK7Kr2w6OlBRUCKAJDMywXQBQhysCDEm8YGWRhc2hfaDI2NC1iYXNpYy1nZW4yXzcyMHARAHUAZd6oAQA&_nc_gid=UlzozW82HcoCzl9gsXKJMQ&_nc_ss=7f289&_nc_zt=28&oh=00_AQBuQJVMefkutd5wYYG7g7Vd7_jNRlXu9gVvvSu9KgF2pw&oe=6A4A357D,https://scontent.fblr20-4.fna.fbcdn.net/v/t39.35426-6/659145488_715098721691764_5308980438113956701_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=ieTzfwkw88UQ7kNvwHeAz10&_nc_oc=Ado9FMbn9zUI8XWy1RGxgbLWDi4Dw9BVbnUooGtduzPSt4pVNKif_61iWed21no3bN0lq6WEajjSdyDio9qVXSzF&_nc_zt=14&_nc_ht=scontent.fblr20-4.fna&_nc_gid=UlzozW82HcoCzl9gsXKJMQ&_nc_ss=7f289&oh=00_AQAI-APx7rrgJXI5l8x2EPIy_rsgRmrWjS41LeXUM0d5Og&oe=6A4A333B,2026-07-05T10:44:13.000Z,2026-07-01,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1681513992840751.mp4,2026-05-27,2026-07-01,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1681513992840751_competitor_analysis.docx,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1681513992840751_supernova_rewrite.docx,,,,2,0,,2026-04-01,,"More than a game. Learn chess, math, music and more for free with Duolingo.",The world's #1 learning app,Install now,http://play.google.com/store/apps/details?id=com.duolingo,"Facebook,Instagram,Audience Network,Messenger,Threads"
2,Duolingo,141935472517297,Duolingo,,IN,855822700785894,https://www.facebook.com/ads/library/?id=855822700785894,2026-02-05,,false,false,1,Duolingo is the world's #1 language learning app,Free language learning,Install now,http://play.google.com/store/apps/details?id=com.duolingo,Image,"Facebook,Instagram,Audience Network,Messenger,Threads",1,0,1:1,,https://scontent.fblr20-3.fna.fbcdn.net/v/t39.35426-6/637184734_900534456204231_8448127877748197161_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=LLPzs5n39UUQ7kNvwHQgipF&_nc_oc=Ado1aRZ4Ey_5xRKEx2J2V7W-hYHzpmZ8glt2MusP7-KGdBIcOFBnr_G-DCKNs_DBpIqoVsrLfZO0NUcQl3kH98J8&_nc_zt=14&_nc_ht=scontent.fblr20-3.fna&_nc_gid=kLt8gVQ1XXD1pO-ijjQzuA&_nc_ss=7f289&oh=00_AQBBWpNWp34tGq-UD6sDI1Oji0a1iERu_MN2Oahe_ILs0w&oe=6A58BFAF,2026-07-16T11:25:35.000Z,2026-07-12,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/855822700785894.jpg,2026-05-27,2026-07-12,,,,,,2,0,,2026-02-05,,Duolingo is the world's #1 language learning app,Free language learning,Install now,http://play.google.com/store/apps/details?id=com.duolingo,"Facebook,Instagram,Audience Network,Messenger,Threads"
4,Duolingo,141935472517297,Duolingo,,IN,873410355318564,https://www.facebook.com/ads/library/?id=873410355318564,2026-02-05,,false,false,1,Duolingo is the world's #1 language learning app,Free language learning,Install now,http://play.google.com/store/apps/details?id=com.duolingo,Video,"Facebook,Instagram,Audience Network,Messenger,Threads",1,0,1:1,https://video.fblr20-2.fna.fbcdn.net/o1/v/t2/f2/m366/AQO2BCeeRVsAUSoclCmVl5egMP6x1xwT-C1j8RSBW78qOhSQvesVEMmc0s3-vh5I5Gqygp0B2pgR-nhsupPj_08lL8IFzvngctOoxnKYz10sNg.mp4?_nc_cat=102&_nc_oc=AdpLyelbZlm3d6xtSb8TpO7pWsPyWENfXJcej6AAsVbkNV87_6L_nGoNzeJGzY3PbUlgf7lnwhk6qTc-KjYhtPsJ&_nc_sid=b66105&_nc_ht=video.fblr20-2.fna.fbcdn.net&_nc_ohc=spCkKCtGVf4Q7kNvwEZZUqZ&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuNzIwLmRhc2hfaDI2NC1iYXNpYy1nZW4yXzcyMHAiLCJ4cHZfYXNzZXRfaWQiOjExNzU1MzM3NDM1MDUwMzEsImFzc2V0X2FnZV9kYXlzIjo2NTIsInZpX3VzZWNhc2VfaWQiOjEwMTM5LCJkdXJhdGlvbl9zIjozMCwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&vs=fffb0c98a9452aca&_nc_vs=HBksFQIYRWZiX2VwaGVtZXJhbC82MDQ3RTA4MTJFMjEyQzAyODQyQTAyQTQ1RDBDQURCRl9tdF8xX3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBEgAVAhgzZmJfcGVybWFuZW50LzM3NzgyMDcxNTM5NzkxNF84NDg3NDY4OTYyNTEzODE2MDUubXA0FQICyAESACgAGAAbAogHdXNlX29pbAExEnByb2dyZXNzaXZlX3JlY2lwZQExFQAAJo76n_OIyZYEFQIoAkMzLBdAPgAAAAAAABgZZGFzaF9oMjY0LWJhc2ljLWdlbjJfNzIwcBEAdQBltp4BAA&_nc_gid=kLt8gVQ1XXD1pO-ijjQzuA&_nc_ss=7f289&_nc_zt=28&oh=00_AQC3viGnS5E4HQkUJa8MInBBHx6bS7A7pwP85bbyjP0pnw&oe=6A58AB26,https://scontent.fblr20-2.fna.fbcdn.net/v/t39.35426-6/641362394_2114864279265031_8874588552838349804_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=VonNk60-BVsQ7kNvwGeqZKv&_nc_oc=AdpT6Ysc_dclFgYlHXaZhtU0OtdwWnD5Gs4FFba5xIO9xYWkZtphh5huYuG9TPhYB895JMTyOu_d4kny32jIodl7&_nc_zt=14&_nc_ht=scontent.fblr20-2.fna&_nc_gid=kLt8gVQ1XXD1pO-ijjQzuA&_nc_ss=7f289&oh=00_AQDMGVZTTaFXlnGTyIUGJN_iW9bWFveKzcGsoS_RUN2Idw&oe=6A58B897,2026-07-16T09:57:58.000Z,2026-07-12,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/873410355318564.mp4,2026-05-27,2026-07-12,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/873410355318564_competitor_analysis.docx,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/873410355318564_supernova_rewrite.docx,,,,4,0,,2026-02-05,,Duolingo is the world's #1 language learning app,Free language learning,Install now,http://play.google.com/store/apps/details?id=com.duolingo,"Facebook,Instagram,Audience Network,Messenger,Threads"
3,Duolingo,141935472517297,Duolingo,,IN,931440739227131,https://www.facebook.com/ads/library/?id=931440739227131,2026-02-05,,false,false,1,Duolingo is the world's #1 language learning app,Free language learning,Install now,http://play.google.com/store/apps/details?id=com.duolingo,Video,"Facebook,Instagram,Audience Network,Messenger,Threads",1,0,1:1,https://video.fblr20-1.fna.fbcdn.net/o1/v/t2/f2/m366/AQNPrDVwB5-uXyipFsQTHBsEXlh0PtOEcPVkwNn0ooLwS3O-vWWo6Tqd4pLqwLG8ke7bje-RXxDFMDx07eZvO0b5Z4eKPnnGNL5BwnCA4pO_iQ.mp4?_nc_cat=110&_nc_oc=Adqjnku0swftdjRYhME3Y6eqLvGSFRA_kbt32jgEKJZnkm7rhEi3tmMTlVL2zdHZyK7Yb_dwonSu98zS3cpnoHme&_nc_sid=b66105&_nc_ht=video.fblr20-1.fna.fbcdn.net&_nc_ohc=QIiXXiBGKW0Q7kNvwHeFFVk&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuNzIwLmRhc2hfaDI2NC1iYXNpYy1nZW4yXzcyMHAiLCJ4cHZfYXNzZXRfaWQiOjgyODM1MzA2OTE3MjQ0MzcsImFzc2V0X2FnZV9kYXlzIjo2NTIsInZpX3VzZWNhc2VfaWQiOjEwMTM5LCJkdXJhdGlvbl9zIjozMCwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&vs=b3ee5376ce764802&_nc_vs=HBksFQIYRWZiX2VwaGVtZXJhbC81NDQ4Q0ZFQTVEODE2NkFEQzI3MTI1QTkxRDJCQTBBRF9tdF8xX3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBEgAVAhg1ZmJfcGVybWFuZW50LzEyNDMzMTk4NDAxODgxOTRfNzI2MDU3NDI3NTk1NDgyMjA5MC5tcDQVAgLIARIAKAAYABsCiAd1c2Vfb2lsATEScHJvZ3Jlc3NpdmVfcmVjaXBlATEVAAAmqpLuhfn0th0VAigCQzMsF0A-AAAAAAAAGBlkYXNoX2gyNjQtYmFzaWMtZ2VuMl83MjBwEQB1AGW2ngEA&_nc_gid=kLt8gVQ1XXD1pO-ijjQzuA&_nc_ss=7f289&_nc_zt=28&oh=00_AQDcaSTW8MDb0WhQvW98fCUxEV1FhbRKTKzVRNe0FpbJTg&oe=6A58C812,https://scontent.fblr20-5.fna.fbcdn.net/v/t39.35426-6/640453477_804170896031334_5683839880145814782_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=Svd8h36wZncQ7kNvwF5otpv&_nc_oc=Adolr1hY9jEGj2j-F02PsXfe2GrqWNqMGCQd8FjHfHOAi1U8XfVGoswpwENA5sHUj1RW4B0f7mOz53FhB7FHQptC&_nc_zt=14&_nc_ht=scontent.fblr20-5.fna&_nc_gid=kLt8gVQ1XXD1pO-ijjQzuA&_nc_ss=7f289&oh=00_AQDkNQRKG1mJruhq3vnvWEHpkdRIrxFIkiUpoDCARfS-Rg&oe=6A589F48,2026-07-16T12:01:22.000Z,2026-07-12,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/931440739227131.mp4,2026-05-27,2026-07-12,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/931440739227131_competitor_analysis.docx,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/931440739227131_supernova_rewrite.docx,,,,3,0,,2026-02-05,,Duolingo is the world's #1 language learning app,Free language learning,Install now,http://play.google.com/store/apps/details?id=com.duolingo,"Facebook,Instagram,Audience Network,Messenger,Threads"
6,Duolingo,141935472517297,Duolingo,,IN,1393073786168344,https://www.facebook.com/ads/library/?id=1393073786168344,2026-02-05,,false,false,1,Duolingo is the world's #1 language learning app,Free language learning,Install now,http://play.google.com/store/apps/details?id=com.duolingo,Image,"Facebook,Instagram,Audience Network,Messenger,Threads",1,0,9:16,,https://scontent.fblr20-1.fna.fbcdn.net/v/t39.35426-6/638768675_1816198109068160_4370842215407111412_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=YDtPLnrpGeUQ7kNvwFNTNkO&_nc_oc=AdoAgPz9i5fyyjLujBosguI3po1RnUgybTSW81Qx-LoRHI5tX8kRvLY2I7OymoTH8WKwrXkxI4u5_1byVjzeFEn8&_nc_zt=14&_nc_ht=scontent.fblr20-1.fna&_nc_gid=kLt8gVQ1XXD1pO-ijjQzuA&_nc_ss=7f289&oh=00_AQB5b5-7-xLkK-bon_0L3qcfnXe8U0nIcYCnwete8DkpMw&oe=6A58CA5E,2026-07-16T12:11:10.000Z,2026-07-12,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1393073786168344.jpg,2026-05-27,2026-07-12,,,,,,6,0,,2026-02-05,,Duolingo is the world's #1 language learning app,Free language learning,Install now,http://play.google.com/store/apps/details?id=com.duolingo,"Facebook,Instagram,Audience Network,Messenger,Threads"
7,Duolingo,141935472517297,Duolingo,,IN,854198787652805,https://www.facebook.com/ads/library/?id=854198787652805,2026-02-05,,false,false,1,Duolingo is the world's #1 language learning app,Free language learning,Install now,http://play.google.com/store/apps/details?id=com.duolingo,Image,"Facebook,Instagram,Audience Network,Messenger,Threads",1,0,9:16,,https://scontent.fblr20-3.fna.fbcdn.net/v/t39.35426-6/639574892_887312747470458_3265648172061560719_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=zEtocarVfO8Q7kNvwHbk-Fe&_nc_oc=AdqSZiZHbKP282_a1-I6tdFiAPgmRu6xsk8qsTUw6h6321KR5CPnoLZX0kBDEL5h6WxoMeEjWLpB0GSTqiRQn8JN&_nc_zt=14&_nc_ht=scontent.fblr20-3.fna&_nc_gid=kLt8gVQ1XXD1pO-ijjQzuA&_nc_ss=7f289&oh=00_AQDsAXpNsf7WcRsbDKikjgJsTJN0JlTbtwto7j1F1O_OgA&oe=6A58B0DD,2026-07-16T10:22:21.000Z,2026-07-12,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/854198787652805.jpg,2026-05-27,2026-07-12,,,,,,7,0,,2026-02-05,,Duolingo is the world's #1 language learning app,Free language learning,Install now,http://play.google.com/store/apps/details?id=com.duolingo,"Facebook,Instagram,Audience Network,Messenger,Threads"
5,Duolingo,141935472517297,Duolingo,,IN,4420167301545944,https://www.facebook.com/ads/library/?id=4420167301545944,2026-02-05,,false,false,1,Duolingo is the world's #1 language learning app,Free language learning,Install now,http://play.google.com/store/apps/details?id=com.duolingo,Image,"Facebook,Instagram,Audience Network,Messenger,Threads",1,0,9:16,,https://scontent.fblr20-3.fna.fbcdn.net/v/t39.35426-6/640277248_764518093011940_391721912953179864_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=JgNpYQR2ycMQ7kNvwG3DX43&_nc_oc=Adozf34zXJJuYgrMFiKtvvBk3urMprme_c345vlFUsor_ndHBkZD35lxh4IyP_89SrFiNA3fpdXyPrS76kWFwwcc&_nc_zt=14&_nc_ht=scontent.fblr20-3.fna&_nc_gid=kLt8gVQ1XXD1pO-ijjQzuA&_nc_ss=7f289&oh=00_AQC4jr7g-udIzmweOC__xnNsljaJBFqpMqc307iQpFjnmw&oe=6A58B857,2026-07-16T10:54:15.000Z,2026-07-12,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/4420167301545944.jpg,2026-05-27,2026-07-12,,,,,,5,0,,2026-02-05,,Duolingo is the world's #1 language learning app,Free language learning,Install now,http://play.google.com/store/apps/details?id=com.duolingo,"Facebook,Instagram,Audience Network,Messenger,Threads"
3,Duolingo,141935472517297,Duolingo,,IN,1270856521521372,https://www.facebook.com/ads/library/?id=1270856521521372,2026-01-29,,false,false,1,Stop scrolling. Start checkmating. Learn chess for free with Duolingo.,New on Duolingo: Chess,Install now,http://play.google.com/store/apps/details?id=com.duolingo,Video,"Facebook,Instagram,Audience Network,Messenger,Threads",1,0,9:16,https://video.fblr20-1.fna.fbcdn.net/o1/v/t2/f2/m366/AQOOYBTDgjaV3FR92NPQj1q_12YFN28VPTBQU80I6qeWH5X89PKMWnH_dQhuvYGPOpWOjZJq34em0XQxtxYxP4XQYIgAuDDEvcx3Ry7Pnp11lA.mp4?_nc_cat=108&_nc_oc=AdroIAik4-dMY4b2CgJqub0JZBdN8SHGDSmAIBslnPzo8bEH5Szwiu2dqWGDLPSVvo_pnxPKRz1UjQVWWMZ8uGuD&_nc_sid=b66105&_nc_ht=video.fblr20-1.fna.fbcdn.net&_nc_ohc=xMRbmI902PkQ7kNvwEtgRoB&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuNzIwLmRhc2hfaDI2NC1iYXNpYy1nZW4yXzcyMHAiLCJ4cHZfYXNzZXRfaWQiOjExOTM4MDYxNjk0MzY4MzksImFzc2V0X2FnZV9kYXlzIjoxOTUsInZpX3VzZWNhc2VfaWQiOjEwNzk5LCJkdXJhdGlvbl9zIjoyMSwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&vs=5a8419fc549cb604&_nc_vs=HBksFQIYRWZiX2VwaGVtZXJhbC85ODQ4MDNGNzM5RkU5Qjc4MjE4OEEwMjA4NzcwRkQ5MV9tdF8xX3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBEgAVAhhAZmJfcGVybWFuZW50LzQzNEUzMTlCNEM2RTA2RTYyMDNCMDRCQUU2MERBMEE1X2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACbOyseK1fCeBBUCKAJDMywXQDVmZmZmZmYYGWRhc2hfaDI2NC1iYXNpYy1nZW4yXzcyMHARAHUAZd6oAQA&_nc_gid=UlzozW82HcoCzl9gsXKJMQ&_nc_ss=7f289&_nc_zt=28&oh=00_AQCbFV5ywn0-7rzOAHNh1bJHNIir-EYkLO5_bYh3tV62RQ&oe=6A4A26E0,https://scontent.fblr20-2.fna.fbcdn.net/v/t39.35426-6/602980598_1355829639104568_6977867879121330209_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=erDO_LDyrdYQ7kNvwGXKscY&_nc_oc=AdrLk33fnIuM4hJ7ip1N5MvWWH0FfKQuCW4xH-ql20sPT73y7e5KvhaHGMnzLP1oBdvhXy5007UQBHApecKG_lpn&_nc_zt=14&_nc_ht=scontent.fblr20-2.fna&_nc_gid=UlzozW82HcoCzl9gsXKJMQ&_nc_ss=7f289&oh=00_AQDwcFYMBD1Lexk0u3JTAXVOrmlRUqEsDHgWC-YPQtRK3g&oe=6A4A3771,2026-07-05T09:41:52.000Z,2026-07-01,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1270856521521372.mp4,2026-05-27,2026-07-01,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1270856521521372_competitor_analysis.docx,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1270856521521372_supernova_rewrite.docx,,,,3,0,,2026-01-29,,Stop scrolling. Start checkmating. Learn chess for free with Duolingo.,New on Duolingo: Chess,Install now,http://play.google.com/store/apps/details?id=com.duolingo,"Facebook,Instagram,Audience Network,Messenger,Threads"
8,Duolingo,141935472517297,Duolingo,,IN,1187219770066761,https://www.facebook.com/ads/library/?id=1187219770066761,2026-02-05,,false,false,1,Duolingo is the world's #1 language learning app,Free language learning,Install now,http://play.google.com/store/apps/details?id=com.duolingo,Video,"Facebook,Instagram,Audience Network,Messenger,Threads",1,0,1:1,https://video.fblr20-2.fna.fbcdn.net/o1/v/t2/f2/m366/AQPXr63EoupvenU7Z8h77VR8qrdPjVeXf2ftlG1v7RU-4NPD2ssPF9vp7C6R8UT1zI6aZSYV2ggH0uso2NP-sGhZgPiJ5dhvrgr58utRGYS1Yw.mp4?_nc_cat=111&_nc_oc=Adph1-7EwA258tnZIOJBvOx7IfU2qwLMOykDzsMFMt7OkMYAONMSH6ibrBg__8uUkPmRp7pixixjRZvPQ-wHzZZp&_nc_sid=b66105&_nc_ht=video.fblr20-2.fna.fbcdn.net&_nc_ohc=2TJx5b1zyTsQ7kNvwFF5YsH&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuNzIwLmRhc2hfaDI2NC1iYXNpYy1nZW4yXzcyMHAiLCJ4cHZfYXNzZXRfaWQiOjEyMjY5Njc0MTUzMDQyNTIsImFzc2V0X2FnZV9kYXlzIjo2NTIsInZpX3VzZWNhc2VfaWQiOjEwMTM5LCJkdXJhdGlvbl9zIjozMCwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&vs=55a88811aef2f994&_nc_vs=HBksFQIYRWZiX2VwaGVtZXJhbC8yQzQyNTdBRjc0NDRBODc4MUQxMkZBNTY0QTBBNjQ4Nl9tdF8xX3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBEgAVAhg1ZmJfcGVybWFuZW50LzExOTM4NTExOTE4NDc5MTNfMTk4MTY4MzgzMTcwNzQ2NDE2OC5tcDQVAgLIARIAKAAYABsCiAd1c2Vfb2lsATEScHJvZ3Jlc3NpdmVfcmVjaXBlATEVAAAm-MCFz_P6rQQVAigCQzMsF0A-AAAAAAAAGBlkYXNoX2gyNjQtYmFzaWMtZ2VuMl83MjBwEQB1AGW2ngEA&_nc_gid=kLt8gVQ1XXD1pO-ijjQzuA&_nc_ss=7f289&_nc_zt=28&oh=00_AQB3bR37ZaSKcMARvTn8GV6NOTcbZAdI5zBbtxDin9OGzQ&oe=6A58ABD1,https://scontent.fblr20-3.fna.fbcdn.net/v/t39.35426-6/638795366_1234627685316239_6162326310709086449_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=3qHNZh3a_e8Q7kNvwF6dnrH&_nc_oc=AdoXm4CaaIt56dTsyc1RCVohOn8cvC8N_YYsw44ZrUzUd3FWvBqSMHeLE-86uaPPebXXsWOKczKjr8_7mn42oJU6&_nc_zt=14&_nc_ht=scontent.fblr20-3.fna&_nc_gid=kLt8gVQ1XXD1pO-ijjQzuA&_nc_ss=7f289&oh=00_AQCvBoMx4BxJj0NgF5ibdFlWjJ05PtpieiYTXubrvHNUUQ&oe=6A58C25F,2026-07-16T10:00:49.000Z,2026-07-12,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1187219770066761.mp4,2026-05-27,2026-07-12,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1187219770066761_competitor_analysis.docx,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1187219770066761_supernova_rewrite.docx,,,,8,0,,2026-02-05,,Duolingo is the world's #1 language learning app,Free language learning,Install now,http://play.google.com/store/apps/details?id=com.duolingo,"Facebook,Instagram,Audience Network,Messenger,Threads"
