ad_id,version_index,creative_index,video_resolution,video_bitrate,duration_s
1477183203777341,0,0,720x720,1280814,56.19
1293067956117881,0,0,720x720,1092279,57.94
1182441817236590,0,0,720x720,431439,53.59
967017965779261,0,0,720x720,428208,67.28
1261894342696646,0,0,720x720,728153,98.75
2203881063685200,0,0,720x1276,1148947,80.99
1386304936584896,0,0,720x720,708311,48.79
2162968067812618,0,0,720x1280,750968,43.19
2718857995158689,0,0,720x720,774812,78.36
950441070968656,0,0,720x720,474771,48.07
953470727433696,0,0,720x720,572007,53.61
1913593379351763,0,0,720x1280,959684,41.07
953292117697900,0,0,720x720,845010,49.11
842899398339565,0,0,720x720,794960,42.52
922333753982552,0,0,720x720,609231,55.81
1670382757639077,0,0,720x720,582690,57.28
995718232905948,0,0,720x720,932803,64.98
26831805176478505,0,0,720x720,544589,59.24
1668568907754755,0,0,720x720,609889,47.72
1333380855312442,0,0,720x1280,1007172,34.46
1494320365675491,0,0,720x1280,1065241,70.29
1865042314101385,0,0,720x1280,943336,52.22
2185353608668047,0,0,720x720,944573,76.23
1470861051315043,0,0,720x720,450667,38.38
3391983870966275,0,0,720x720,1341083,76.02
906995315729188,0,0,720x720,619574,51.18
3226076084220389,0,0,720x1280,1273269,31.74
1281577630753736,0,0,720x720,927755,61.3
1467213678402110,0,0,720x720,840601,40.47
1382923387003958,0,0,720x720,743311,27.54
1646829209907293,0,0,720x1280,1251568,29.35
2677142752658813,0,0,720x1280,968363,54.8
1694023131623811,0,0,720x1280,1204398,38.15
26864506773237930,0,0,720x720,733947,54.78
1277243397882538,0,0,720x720,585030,44.67
2429663597501268,0,0,720x720,845010,49.11
1702346954551106,0,0,720x1280,1027835,37.2
1429462188410527,0,0,720x720,846272,53.44
1306098638255345,0,0,720x1280,649904,65.88
2165128834325739,0,0,720x720,461542,58.92
861281100343417,0,0,720x1280,1341636,42.54
2442362952880772,0,0,720x720,533997,57.32
1006329295201378,0,0,720x1280,1352496,49.32
1542208837423364,0,0,720x720,471627,33.92
1008847321469743,0,0,720x720,900424,49.64
810679145097987,0,0,720x720,921970,40.2
958273773623414,0,0,720x720,808327,56.85
2331531480702586,0,0,720x720,557221,50.6
1655535008789619,0,0,720x1280,1349726,57.75
1631492917935092,0,0,720x720,816093,29.49
1263424899236990,0,0,720x720,821878,133.59
813412201592967,0,0,720x720,463513,61.84
1674695527105346,0,0,720x720,1078503,56.32
1666733754369589,0,0,720x720,664287,34.06
940578045564403,0,0,720x1280,1334681,93.85
1293999789370021,0,0,720x720,406370,41.68
802134739188636,0,0,720x720,471492,62.99
2504659850014715,0,0,720x1280,794869,29.29
2047136142819030,0,0,720x720,788339,53.23
1534951244867864,0,0,720x1280,1302644,42.52
2295536704309986,0,0,720x1280,1251770,30.7
2235801616953885,0,0,720x720,809140,39.75
1816385469321451,0,0,720x720,685150,193.9
965390732957236,0,0,720x720,706493,27.54
1482004609604227,0,0,720x720,480519,58.17
822646964213690,0,0,720x720,482257,61.48
1685482815926044,0,0,720x720,513694,27.19
1282823553919831,0,0,720x720,657573,47.76
1446240430854536,0,0,720x720,737995,86.74
1751381559566795,0,0,720x1280,1648773,48.4
2191004834982270,0,0,720x720,989952,33.5
35711967805116200,0,0,720x720,471627,33.92
942092611562781,0,0,720x720,504225,60.37
1685505725983692,0,0,720x720,922642,62.72
2528750337543867,0,0,720x720,910580,68.16
1301259608777420,0,0,720x720,622697,50.08
2033981820847254,0,0,720x720,585023,51.31
958926196946861,0,0,720x720,604681,52.78
1476659844143221,0,0,720x720,942180,73.28
1682994332739683,0,0,720x720,567597,89.64
2048236592746332,0,0,712x1266,772176,32.76
2053832001834030,0,0,720x1280,803570,38.59
812647415013944,0,0,720x720,1033725,65.17
2405709006591713,0,0,720x720,501633,25.96
1480436776901571,0,0,720x720,489423,29.31
970516062537557,0,0,720x720,589813,53.68
26440235635678026,0,0,720x1280,1537678,38.87
969146279157123,0,0,720x1280,1296520,54.8
983234034190027,0,0,720x720,572359,48.18
2004608190130920,0,0,720x720,506501,70.7
1468615711427185,0,0,720x720,1160987,57.41
984918357242547,0,0,720x720,1053574,62.11
3028455167350044,0,0,720x1280,1321610,41.11
1279276767638086,0,0,720x720,779923,39.25
931187749685280,0,0,720x720,684948,112.43
1348762350434051,0,0,720x1280,1403349,45.65
1687496652376090,0,0,720x720,545208,65.94
1598629301201879,0,0,720x1280,897668,48.13
962132652878187,0,0,720x720,703683,114.24
993529143162192,0,0,720x720,393072,31.79
1349370937055281,0,0,720x720,546439,58.24
1478426623765158,0,0,720x720,526073,37.55
2850844975268677,0,0,720x720,558849,72.04
1686360975738216,0,0,720x720,520224,51.05
4446530095614785,0,0,720x720,506937,70.36
999336602437836,0,0,720x720,554109,147.18
2204005596804828,0,0,720x720,380295,30.11
982953024519886,0,0,720x720,974749,68.78
1416378913857622,0,0,720x1280,842955,34.32
2468043330284583,0,0,720x720,774812,78.36
1026640269709018,0,0,720x1280,1501104,57.68
1561713398936768,0,0,720x1280,984232,35.15
2161668907979676,0,0,720x720,531639,47.96
1025052986513701,0,0,720x1280,917079,44.41
1294983332740325,0,0,720x1280,1306857,52.82
1498207608381120,0,0,720x720,1012816,64.25
838145219358586,0,0,720x720,367371,65.88
951439150997123,0,0,720x720,448397,38.43
1672373224199119,0,0,720x720,1023521,36.16
2809428052749261,0,0,720x720,526073,37.55
1000338829196892,0,0,720x1280,995483,35.43
831865046236591,0,0,720x720,576053,61.12
1671433074080008,0,0,720x1280,1257432,48.62
1342031744648586,0,0,720x1280,1033435,60.67
2217341015763503,0,0,720x1280,1556072,49.04
1641975910360142,0,0,720x1280,2016200,43.4
2030240231207465,0,0,720x1280,1509721,41.62
952737910984432,0,0,720x1280,1223900,33.02
3443849799125735,0,0,720x1280,878526,50.49
847846551131630,0,0,720x720,406216,44.4
1607956950303032,0,0,720x900,405197,22.68
937743845921852,0,0,720x1280,856424,46.86
2170637817088886,0,0,720x720,469581,35.07
1483250163405257,0,0,720x720,740978,62.69
1531687464577242,0,0,720x720,568648,53.29
1598934404482182,0,0,720x720,546758,39.26
931936369278461,0,0,720x720,847106,23.27
1030503980140114,0,0,720x720,644563,37.75
884905214442278,0,0,720x720,535949,50.66
880800171143322,0,0,720x1280,525086,46.46
1511111056828106,0,0,720x1280,905332,42.88
1606416436942554,0,0,720x720,408088,57.15
954809496875720,0,0,720x720,458979,41.33
4438025873093504,0,0,720x1280,1386825,43.14
1384125720047598,0,0,720x1280,593012,32.4
1569837701108499,0,0,720x1280,521360,31.23
25689263567435851,0,0,720x1280,1220011,48.38
1598944374618214,0,0,720x1280,572713,30.61
1857730538277430,0,0,720x720,727130,33.78
937087548666909,0,0,720x720,598057,36.78
767982765971645,0,0,720x720,613724,42.24
1242925180598225,0,0,720x720,461422,40.96
903649205408344,0,0,720x720,516231,53.52
858959107181092,0,0,720x720,699777,32.37
1615741946275334,0,0,720x720,624690,54.45
965434199345665,0,0,720x720,632115,53.76
4487212464857580,0,0,720x720,600902,42.79
1420564419556783,0,0,720x720,670186,39.73
2337690173390963,0,0,720x720,465286,41.42
1447298590404255,0,0,720x720,958613,68.76
2163947724344247,0,0,720x720,590815,57.94
2105293576950861,0,0,720x720,657287,52.59
1624410095245730,0,0,360x360,175664,37.71
960506216864353,0,0,720x1280,1102288,59.7
1696524301725159,0,0,720x720,402305,42.96
1224354406554260,0,0,720x720,1348586,34.11
3003093209899598,0,0,720x720,773580,42.77
1327836129169546,0,0,720x720,458288,41.05
2216320602522093,0,0,720x720,1227629,34.37
3034428376940626,0,0,720x1280,954186,46.09
1722146582095771,0,0,720x1280,1220011,48.38
918714334465060,0,0,720x720,784085,38.8
4214340422164193,0,0,720x720,540601,32.55
1824295468237331,0,0,720x720,891176,35.03
1627007201772082,0,0,720x720,627891,33.04
4025885004370334,0,0,720x720,605561,49.5
1201463028826137,0,0,720x1280,973640,46.09
839466612486237,0,0,720x720,954242,43.22
1566297197911206,0,0,720x720,636314,49.32
3357549721086679,0,0,720x720,1318743,34.86
1953642172029834,0,0,720x720,695916,48.32
931857945993685,0,0,720x720,815943,37.03
1846567089393685,0,0,720x720,841349,39.43
1166838812014048,0,0,720x720,540360,31.69
1366359718626426,0,0,720x720,1215109,34.37
2393357557844949,0,0,720x720,562197,32.09
891251400369366,0,0,360x360,220953,37.25
1871665510183650,0,0,360x360,194510,35.35
4317358591866176,0,0,720x720,774812,78.36
1507220527751466,0,0,720x720,927755,61.3
2443712506142477,0,0,720x720,845010,49.11
27292861753737186,0,0,720x1280,1584934,53.57
884765954660063,0,0,720x1276,1148947,80.99
1287946936434940,0,0,720x720,794960,42.52
2284848355255499,0,0,720x720,921970,40.2
1692395758675404,0,0,720x720,1280814,56.19
1945016303042855,0,0,720x720,431439,53.59
1635365307514500,0,0,720x720,867166,35.27
861317746449714,0,0,720x720,728153,98.75
1534214218051412,0,0,720x720,944573,76.23
1008889414931118,0,0,720x1280,649904,65.88
1271227128122015,0,0,720x720,609889,47.72
1650498256245529,0,0,720x720,428208,67.28
1718754532619881,0,0,720x720,367371,65.88
1318836490216975,0,0,720x720,872862,35.29
975392855199734,0,0,720x720,791388,32.57
26968972736117345,0,0,720x720,471627,33.92
918355924593292,0,0,720x720,506501,70.7
1306104707759795,0,0,720x720,708311,48.79
4514909948796940,0,0,720x720,506937,70.36
2887194411625477,0,0,720x720,406370,41.68
1970602930490694,0,0,720x720,697431,48.44
1459744116192629,0,0,720x720,1092279,57.94
1357098709656712,0,0,720x720,471492,62.99
1553179199937865,0,0,720x720,533997,57.32
820194970971284,0,0,720x1280,968363,54.8
4304356203209733,0,0,720x720,564092,38.75
1385625296768441,0,0,720x720,740395,34.24
976542395354747,0,0,720x720,526073,37.55
2205572380178415,0,0,720x720,564092,38.75
2073537180176297,0,0,720x720,704025,69.27
2055225678395208,0,0,720x720,588272,60.49
929060776855189,0,0,720x720,489423,29.31
2205072176896653,0,0,720x720,833712,50.9
878652348591010,0,0,720x720,519552,46.74
4322078088052764,0,0,720x720,1341083,76.02
1455497906349902,0,0,720x720,504225,60.37
975868448384290,0,0,720x720,582690,57.28
1316777246578170,0,0,720x720,583062,51.29
1314381756861108,0,0,720x720,362187,77.33
1317357846423381,0,0,720x720,733947,54.78
4511383839140943,0,0,720x720,706493,27.54
1662266588372476,0,0,720x720,583062,51.29
1355959489761084,0,0,720x720,809140,39.75
3907189146244683,0,0,720x720,1370673,53.36
4432264630363822,0,0,720x720,482257,61.48
1631437637912562,0,0,720x720,874775,35.8
1527222942372722,0,0,720x1280,1334681,93.85
993366446988196,0,0,720x720,662531,74.47
1528983802208134,0,0,720x720,474771,48.07
794762543589793,0,0,720x720,737995,86.74
1566808484881295,0,0,720x1280,842955,34.32
2011866696882033,0,0,720x1280,1204398,38.15
878992604485262,0,0,720x720,619574,51.18
997704165962187,0,0,720x720,501633,25.96
965991376247034,0,0,720x720,788339,53.23
1015528570998771,0,0,720x720,491712,52.43
1519137703335884,0,0,720x720,779923,39.25
1890571951655444,0,0,720x720,733947,54.78
880180717685885,0,0,720x720,718739,34.22
1007530385081900,0,0,720x720,1078503,56.32
1724422962333351,0,0,720x720,757612,85.33
1359996982637929,0,0,720x720,511477,47.91
1043103124812012,0,0,720x720,989952,33.5
1027447753065197,0,0,720x720,846272,53.44
26844394018563524,0,0,720x720,872862,35.29
1005340095418175,0,0,720x720,900424,49.64
989290027036103,0,0,720x720,526073,37.55
2215935059244884,0,0,720x720,1023521,36.16
37337901365796958,0,0,720x720,794960,42.52
1019027777130898,0,0,720x720,942180,73.28
1361741085811598,0,0,720x720,878580,42.62
2050501535881254,0,0,720x720,808327,56.85
1712870236507784,0,0,720x720,997031,62.97
1755985579113125,0,0,720x720,557221,50.6
1665305344789047,0,0,720x720,1053574,62.11
1537332977762360,0,0,720x720,1160987,57.41
1541795334197554,0,0,720x720,994988,52.31
3194390794101462,0,0,720x720,664287,34.06
972418258831307,0,0,720x720,816093,29.49
872479192551236,0,0,720x720,513698,45.49
1804477307581471,0,0,720x1280,1482255,34.85
1350966316920951,0,0,720x720,788339,53.23
983037457947633,0,0,720x720,743311,27.54
2027539371487379,0,0,720x720,520224,51.05
1664834988132991,0,0,720x720,545208,65.94
2077159863678503,0,0,720x720,804428,63.46
1883151975705319,0,0,720x720,768903,56.51
1518844083190295,0,0,720x720,471038,88.04
1559092795653919,0,0,720x720,515006,50.27
1283594347179158,0,0,720x720,524197,45.63
1795514791415516,0,0,720x720,657573,47.76
4495689713987746,0,0,720x720,1335735,56.1
1573736987697228,0,0,720x720,544589,59.24
2087931068421187,0,0,720x720,576053,61.12
1529888078840502,0,0,720x720,845010,49.11
2445266529284122,0,0,720x720,922642,62.72
3689448171208985,0,0,720x720,774812,78.36
1002307968916209,0,0,720x720,522772,49.47
2245758992828721,0,0,720x720,1033725,65.17
1385223413421257,0,0,720x720,701357,59.43
873618651754187,0,0,720x720,567597,89.64
1707722113596111,0,0,720x720,513698,45.49
3987052924921931,0,0,720x1280,1349726,57.75
1656371092252840,0,0,720x720,910580,68.16
