ad_id,script_group_id,group_size,variant_role,replication_type,text_similarity
1466680661478322,loora-g0000,8,original,original,
1489024535719287,loora-g0000,8,replica,translation_replica,0.018
1582553446724594,loora-g0000,8,replica,translation_replica,0.018
1626068392526827,loora-g0000,8,replica,translation_replica,0.013
1923073918386349,loora-g0000,8,replica,translation_replica,0.013
2483405618767529,loora-g0000,8,replica,translation_replica,0.013
26472833265715362,loora-g0000,8,replica,exact_replica,1.000
1315848836760274,loora-g0000,8,replica,translation_replica,0.013
1286341193458429,loora-g0001,7,original,original,
1399715815299179,loora-g0001,7,replica,exact_replica,1.000
1556620752560045,loora-g0001,7,replica,exact_replica,1.000
1654898552218834,loora-g0001,7,replica,exact_replica,1.000
1726347351867581,loora-g0001,7,replica,exact_replica,1.000
2257110451487366,loora-g0001,7,replica,exact_replica,1.000
828323076603145,loora-g0001,7,replica,reworded_replica,0.711
1412389343988596,loora-g0002,7,original,original,
1581060787352516,loora-g0002,7,replica,exact_replica,0.944
2065316954367727,loora-g0002,7,replica,exact_replica,0.945
2153620542128180,loora-g0002,7,replica,exact_replica,0.944
3920858908216732,loora-g0002,7,replica,exact_replica,0.945
827379027114172,loora-g0002,7,replica,exact_replica,0.945
920991640802146,loora-g0002,7,replica,exact_replica,0.945
1679747593034871,loora-g0003,5,original,original,
2014484739469344,loora-g0003,5,replica,exact_replica,1.000
887166504395248,loora-g0003,5,replica,exact_replica,1.000
979523084446611,loora-g0003,5,replica,exact_replica,1.000
999353006369035,loora-g0003,5,replica,exact_replica,1.000
1009996348169330,loora-g0004,4,original,original,
1020433583744483,loora-g0004,4,replica,exact_replica,1.000
1519322489795780,loora-g0004,4,replica,exact_replica,1.000
869185468874772,loora-g0004,4,replica,exact_replica,1.000
1000935449552618,loora-g0005,3,original,original,
1312246001030850,loora-g0005,3,replica,exact_replica,0.903
3217172991801670,loora-g0005,3,replica,exact_replica,0.903
1490005112129951,loora-g0006,3,original,original,
1600521857717578,loora-g0006,3,replica,exact_replica,1.000
1890705918285363,loora-g0006,3,replica,exact_replica,1.000
1608766093513896,loora-g0007,3,original,original,
1651325459631448,loora-g0007,3,replica,exact_replica,0.995
1619041622509778,loora-g0007,3,replica,exact_replica,1.000
2920536348298813,loora-g0008,3,replica,exact_replica,1.000
4371337003141421,loora-g0008,3,original,original,
956413676791922,loora-g0008,3,replica,reworded_replica,0.111
1261073506142042,loora-g0009,2,original,original,
1410322400818020,loora-g0009,2,replica,exact_replica,1.000
1758731028824393,loora-g0010,2,original,original,
1819504062758111,loora-g0010,2,replica,exact_replica,0.997
1861497244534107,loora-g0011,2,original,original,
957241043876808,loora-g0011,2,replica,exact_replica,1.000
2063273217925254,loora-g0012,2,replica,reworded_replica,0.651
1288587726756839,loora-g0012,2,original,original,
26858246627159221,loora-g0013,2,original,original,
2824622157869852,loora-g0013,2,replica,exact_replica,1.000
1017749350907847,loora-g0014,1,original,unique,
1143622754604208,loora-g0015,1,original,unique,
1208953758961208,loora-g0016,1,original,unique,
1332393458836467,loora-g0017,1,original,unique,
1347418030649936,loora-g0018,1,original,unique,
1575036264038808,loora-g0019,1,original,unique,
1743087253793397,loora-g0020,1,original,unique,
1905092613368632,loora-g0021,1,original,unique,
2816620738678016,loora-g0022,1,original,unique,
818640181129690,loora-g0023,1,original,unique,
987721023705930,loora-g0024,1,original,unique,
989760113647100,loora-g0025,1,original,unique,
990584049996241,loora-g0026,1,original,unique,
4468359470086868,loora-g0027,1,original,unique,
1276705914633244,loora-g0028,1,original,unique,
