ad_id,script_group_id,group_size,variant_role,replication_type,text_similarity
1537064428044245,lingo-ai-g0000,9,replica,exact_replica,0.962
1543351697304303,lingo-ai-g0000,9,original,original,
1644228480168526,lingo-ai-g0000,9,replica,exact_replica,1.000
1694390814936925,lingo-ai-g0000,9,replica,reworded_replica,0.718
1772896170361459,lingo-ai-g0000,9,replica,exact_replica,0.989
1787729085545056,lingo-ai-g0000,9,replica,exact_replica,1.000
2025522311379279,lingo-ai-g0000,9,replica,exact_replica,0.963
2076473126238898,lingo-ai-g0000,9,replica,reworded_replica,0.648
27252840764373165,lingo-ai-g0000,9,replica,exact_replica,0.987
1220089980142236,lingo-ai-g0001,8,original,original,
1376125071000503,lingo-ai-g0001,8,replica,exact_replica,0.981
1382542137258042,lingo-ai-g0001,8,replica,exact_replica,1.000
1427717762585898,lingo-ai-g0001,8,replica,exact_replica,0.981
1492092175305768,lingo-ai-g0001,8,replica,exact_replica,1.000
1832151567988662,lingo-ai-g0001,8,replica,exact_replica,0.981
3403536496487480,lingo-ai-g0001,8,replica,exact_replica,1.000
900011839294388,lingo-ai-g0001,8,replica,exact_replica,0.981
1005118642480638,lingo-ai-g0002,5,replica,exact_replica,0.934
1007110078391526,lingo-ai-g0002,5,replica,visual_variant,0.934
1031747116205172,lingo-ai-g0002,5,original,original,
2529530774161992,lingo-ai-g0002,5,replica,visual_variant,0.934
992641953651273,lingo-ai-g0002,5,replica,visual_variant,0.934
1388064789801947,lingo-ai-g0003,4,original,original,
2217238392444405,lingo-ai-g0003,4,replica,exact_replica,0.987
2506292793150954,lingo-ai-g0003,4,replica,translation_replica,0.115
27595074290086518,lingo-ai-g0003,4,replica,translation_replica,0.115
1006749742165873,lingo-ai-g0004,2,replica,exact_replica,1.000
4538220956421951,lingo-ai-g0004,2,original,original,
1025722076570233,lingo-ai-g0005,2,original,original,
1096538780053471,lingo-ai-g0005,2,replica,exact_replica,0.992
1333230688768920,lingo-ai-g0006,2,replica,exact_replica,1.000
919002281155664,lingo-ai-g0006,2,original,original,
1449171250302016,lingo-ai-g0007,2,replica,exact_replica,1.000
1691784178829769,lingo-ai-g0007,2,original,original,
1501331884229139,lingo-ai-g0008,2,replica,reworded_replica,0.867
1747869789910274,lingo-ai-g0008,2,original,original,
1589301959391190,lingo-ai-g0009,2,replica,exact_replica,1.000
980472391441234,lingo-ai-g0009,2,original,original,
1651336692836508,lingo-ai-g0010,2,replica,reworded_replica,0.649
4576200355997577,lingo-ai-g0010,2,original,original,
1665570207993946,lingo-ai-g0011,2,replica,exact_replica,1.000
3046945898830013,lingo-ai-g0011,2,original,original,
1697053921719601,lingo-ai-g0012,2,replica,exact_replica,1.000
2388976068265097,lingo-ai-g0012,2,original,original,
1915361298965714,lingo-ai-g0013,2,replica,exact_replica,0.940
2204277097086348,lingo-ai-g0013,2,original,original,
1977029976261208,lingo-ai-g0014,2,replica,exact_replica,1.000
