pipeline,competitor,page_id,page_name,ad_id,scrape_date,row_rank,page_rank,ad_start_date,media_type,low_impression
google,speak,AR00705977088842137601,"Speakeasy Labs, Inc",CR00460064819299483649,2026-06-03,1,1,,Image,
google,speak,AR00705977088842137601,"Speakeasy Labs, Inc",CR00719391405578911745,2026-06-03,4,2,,Image,
google,speak,AR00705977088842137601,"Speakeasy Labs, Inc",CR01089078327580295169,2026-06-03,7,3,,Image,
google,speak,AR00705977088842137601,"Speakeasy Labs, Inc",CR01428209546567876609,2026-06-03,8,4,,YouTubeVideo,
google,speak,AR00705977088842137601,"Speakeasy Labs, Inc",CR03013186756649418753,2026-06-03,13,5,,YouTubeVideo,
google,speak,AR00705977088842137601,"Speakeasy Labs, Inc",CR03809934818196586497,2026-06-03,16,6,,YouTubeVideo,
google,speak,AR00705977088842137601,"Speakeasy Labs, Inc",CR05027409681262313473,2026-06-03,20,7,,YouTubeVideo,
google,speak,AR00705977088842137601,"Speakeasy Labs, Inc",CR06175808344788303873,2026-06-03,24,8,,YouTubeVideo,
google,speak,AR00705977088842137601,"Speakeasy Labs, Inc",CR06947978593423065089,2026-06-03,29,9,,YouTubeVideo,
google,speak,AR00705977088842137601,"Speakeasy Labs, Inc",CR08154973753466421249,2026-06-03,33,10,,YouTubeVideo,
google,speak,AR00705977088842137601,"Speakeasy Labs, Inc",CR09036662610132467713,2026-06-03,38,11,,Image,
google,speak,AR00705977088842137601,"Speakeasy Labs, Inc",CR09059097457702469633,2026-06-03,41,12,,YouTubeVideo,
google,speak,AR00705977088842137601,"Speakeasy Labs, Inc",CR11982852120391974913,2026-06-03,44,13,,YouTubeVideo,
google,speak,AR00705977088842137601,"Speakeasy Labs, Inc",CR12027842710271426561,2026-06-03,48,14,,YouTubeVideo,
google,speak,AR00705977088842137601,"Speakeasy Labs, Inc",CR13050314015010455553,2026-06-03,52,15,,Image,
google,speak,AR00705977088842137601,"Speakeasy Labs, Inc",CR14774311757321076737,2026-06-03,55,16,,YouTubeVideo,
google,speak,AR00705977088842137601,"Speakeasy Labs, Inc",CR15187292739940122625,2026-06-03,60,17,,YouTubeVideo,
google,speak,AR00705977088842137601,"Speakeasy Labs, Inc",CR15708446064501587969,2026-06-03,64,18,,YouTubeVideo,
google,speak,AR00705977088842137601,"Speakeasy Labs, Inc",CR16557653045580660737,2026-06-03,68,19,,YouTubeVideo,
google,speak,AR00705977088842137601,"Speakeasy Labs, Inc",CR17170834995170770945,2026-06-03,71,20,,Image,
google,speak,AR00705977088842137601,"Speakeasy Labs, Inc",CR18123795758917353473,2026-06-03,74,21,,YouTubeVideo,
google,speak,AR00705977088842137601,"Speakeasy Labs, Inc",CR00460064819299483649,2026-06-05,1,1,,Image,
google,speak,AR00705977088842137601,"Speakeasy Labs, Inc",CR00719391405578911745,2026-06-05,4,2,,Image,
google,speak,AR00705977088842137601,"Speakeasy Labs, Inc",CR01089078327580295169,2026-06-05,7,3,,Image,
google,speak,AR00705977088842137601,"Speakeasy Labs, Inc",CR09036662610132467713,2026-06-05,38,4,,Image,
google,speak,AR00705977088842137601,"Speakeasy Labs, Inc",CR13050314015010455553,2026-06-05,52,5,,Image,
google,speak,AR00705977088842137601,"Speakeasy Labs, Inc",CR17170834995170770945,2026-06-05,71,6,,Image,
