pipeline,competitor,page_id,page_name,ad_id,scrape_date,row_rank,page_rank,ad_start_date,media_type,low_impression
google,praktika-ai,AR10065453821808607233,PRAKTIKA.AI COMPANY,CR00035075571977289729,2026-06-03,1,1,,YouTubeVideo,
google,praktika-ai,AR10065453821808607233,PRAKTIKA.AI COMPANY,CR00914879719684440065,2026-06-03,4,2,,YouTubeVideo,
google,praktika-ai,AR10065453821808607233,PRAKTIKA.AI COMPANY,CR01084621637585731585,2026-06-03,9,3,,Image,
google,praktika-ai,AR10065453821808607233,PRAKTIKA.AI COMPANY,CR01496360403993624577,2026-06-03,11,4,,YouTubeVideo,
google,praktika-ai,AR10065453821808607233,PRAKTIKA.AI COMPANY,CR01853694192597860353,2026-06-03,14,5,,YouTubeVideo,
google,praktika-ai,AR10065453821808607233,PRAKTIKA.AI COMPANY,CR02356181271463329793,2026-06-03,18,6,,YouTubeVideo,
google,praktika-ai,AR10065453821808607233,PRAKTIKA.AI COMPANY,CR02534039827150536705,2026-06-03,21,7,,Image,
google,praktika-ai,AR10065453821808607233,PRAKTIKA.AI COMPANY,CR03679656245221916673,2026-06-03,24,8,,YouTubeVideo,
google,praktika-ai,AR10065453821808607233,PRAKTIKA.AI COMPANY,CR04661116814216921089,2026-06-03,28,9,,YouTubeVideo,
google,praktika-ai,AR10065453821808607233,PRAKTIKA.AI COMPANY,CR05936792976679239681,2026-06-03,33,10,,YouTubeVideo,
google,praktika-ai,AR10065453821808607233,PRAKTIKA.AI COMPANY,CR06074318147324739585,2026-06-03,37,11,,Image,
google,praktika-ai,AR10065453821808607233,PRAKTIKA.AI COMPANY,CR07555390752667205633,2026-06-03,39,12,,YouTubeVideo,
google,praktika-ai,AR10065453821808607233,PRAKTIKA.AI COMPANY,CR07779640298090528769,2026-06-03,42,13,,Image,
google,praktika-ai,AR10065453821808607233,PRAKTIKA.AI COMPANY,CR10089534500846436353,2026-06-03,43,14,,YouTubeVideo,
google,praktika-ai,AR10065453821808607233,PRAKTIKA.AI COMPANY,CR10416099556058988545,2026-06-03,46,15,,YouTubeVideo,
google,praktika-ai,AR10065453821808607233,PRAKTIKA.AI COMPANY,CR12359054043924922369,2026-06-03,50,16,,Image,
google,praktika-ai,AR10065453821808607233,PRAKTIKA.AI COMPANY,CR12839938236155428865,2026-06-03,51,17,,Image,
google,praktika-ai,AR10065453821808607233,PRAKTIKA.AI COMPANY,CR13970304531028770817,2026-06-03,54,18,,YouTubeVideo,
google,praktika-ai,AR10065453821808607233,PRAKTIKA.AI COMPANY,CR14511376299001380865,2026-06-03,58,19,,YouTubeVideo,
google,praktika-ai,AR10065453821808607233,PRAKTIKA.AI COMPANY,CR14668918654356160513,2026-06-03,62,20,,YouTubeVideo,
google,praktika-ai,AR10065453821808607233,PRAKTIKA.AI COMPANY,CR15375785703371702273,2026-06-03,66,21,,Image,
google,praktika-ai,AR10065453821808607233,PRAKTIKA.AI COMPANY,CR15511343847715110913,2026-06-03,69,22,,YouTubeVideo,
google,praktika-ai,AR10065453821808607233,PRAKTIKA.AI COMPANY,CR17213842177742864385,2026-06-03,73,23,,YouTubeVideo,
google,praktika-ai,AR10065453821808607233,PRAKTIKA.AI COMPANY,CR17614876717418020865,2026-06-03,76,24,,YouTubeVideo,
google,praktika-ai,AR10065453821808607233,PRAKTIKA.AI COMPANY,CR18127931477415952385,2026-06-03,80,25,,Image,
google,praktika-ai,AR10065453821808607233,PRAKTIKA.AI COMPANY,CR18133990379190484993,2026-06-03,81,26,,Image,
google,praktika-ai,AR10065453821808607233,PRAKTIKA.AI COMPANY,CR01084621637585731585,2026-06-05,9,1,,Image,
google,praktika-ai,AR10065453821808607233,PRAKTIKA.AI COMPANY,CR02534039827150536705,2026-06-05,21,2,,Image,
google,praktika-ai,AR10065453821808607233,PRAKTIKA.AI COMPANY,CR06074318147324739585,2026-06-05,37,3,,Image,
google,praktika-ai,AR10065453821808607233,PRAKTIKA.AI COMPANY,CR07779640298090528769,2026-06-05,42,4,,Image,
google,praktika-ai,AR10065453821808607233,PRAKTIKA.AI COMPANY,CR12359054043924922369,2026-06-05,50,5,,Image,
google,praktika-ai,AR10065453821808607233,PRAKTIKA.AI COMPANY,CR15375785703371702273,2026-06-05,66,6,,Image,
google,praktika-ai,AR10065453821808607233,PRAKTIKA.AI COMPANY,CR18127931477415952385,2026-06-05,80,7,,Image,
google,praktika-ai,AR10065453821808607233,PRAKTIKA.AI COMPANY,CR18133990379190484993,2026-06-05,81,8,,Image,
